C1orf162	1	+	111478280	0.0127389	2
CD52	1	+	26320491	0.026455	5
FCMR	1	-	206904385	0.00116973	10
FCRL1	1	-	157794535	0.00123077	2
GPR89A	1	+	145630712	0.000283366	2
LAPTM5	1	-	30732468	0.00588668	8
RPS27	1	+	153991676,153992136	0.189186,0.109679	19,16
RSRP1	1	-	25242236	0.00070028	2
SSU72	1	-	1541672	0.00508906	2
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.00205973	2
UFC1	1	+	161158590	0.0204082	1
FAM107B	10	-	14518556	5.74432e-05	2
PIK3AP1	10	-	96593311	0.000883002	2
RPS24	10	+	78040694	0.00110132	3
AP002990.1	11	-	62559602	0.00392662	58
AP003419.1	11	-	67351571	0.00945626	4
CORO1B	11	-	67435509	0.00515858	27
COX8A	11	+	63976434	0.0175439	2
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120930	0.0846154,0.0142602	11,7
KAT5	11	+	65719320	0.0143885	2
MTRNR2L8	11	-	10507886	0.00754717	2
PSMA1	11	-	14504875	0.00949367	3
PTPRCAP	11	-	67435509	0.103139	23
RPS25	11	-	119015711,119017347	0.0278582,0.00932952	11,5
RPS3	11	+	75404206,75405638	0.0481919,0.0268254	3,27
TMEM123	11	-	102396331	0.000788955	2
TOLLIP	11	-	1274370	0.000218651	2
ANKRD13A	12	+	110030700	0.000314432	3
ARHGDIB	12	-	14942016	0.00792079	4
ARID2	12	+	45904464	0.0384615	4
ARPC3	12	-	110434824	0.00909091	3
BIN2	12	-	51281037	0.00433839	2
BLOC1S1	12	+	55719481	0.00539084	2
BLOC1S1-RDH5	12	+	55719481	0.00539084	2
CD69	12	-	9752485	0.00603015	6
CORO1C	12	-	108645108	0.00021575	2
HVCN1	12	-	110648685	0.00552486	4
LTA4H	12	-	96000827	8.44916e-05	2
MYL6	12	+	56161521	0.0277685	6
NACA	12	-	56712427,56712709	0.00382148,0.0185984	4,15
PCBP2	12	+	53481161	0.000141389	3
PEBP1	12	+	118145027	0.00892857	2
PFDN5	12	+	53299450	0.00253409	7
PWP1	12	+	107696496	0.000573723	1
RPL41	12	+	56117806	0.170213	48
RPLP0	12	-	120196685	0.000743218	2
SLC2A3	12	-	7931350	0.00446927	7
SLC46A3	13	-	28700079	0.00211715	3
IGHM	14	-	105851704,105854219	0.0536398,0.0162602	14,2
NEDD8	14	-	24216851	0.00156617	2
RPS29	14	-	49583571	0.0210526	2
TCL1A	14	-	95709966	0.000717618	2
AC245033.1	15	-	82536787,82538257	0.0043905,0.000258958	10,3
ADAM10	15	-	58588806	2.2865e-05	1
BCL2A1	15	-	79960888	0.0111111	3
EID1	15	+	48878904	0.0121951	2
HYPK	15	+	43801832	0.0406177	4
NOP10	15	-	34341712	0.00711744	2
RPS17	15	-	82536749,82538219	0.00204101,0.0576278	3,9
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43793985	0.0330189	7
ALDOA	16	+	30070260	0.0138889	2
AMFR	16	-	56361451	0.00205903	3
CORO7-PAM16	16	-	4340250,4340789	0.000250629,0.000171832	5,3
COX4I1	16	+	85806802	0.00666667	2
GCSH	16	-	81081937,81086164	0.000114612,0.000394813	1,1
IL21R	16	+	27452042	0.0007249	2
IL4R	16	+	27350786	0.00185364	17
PAM16	16	-	4340247,4340786	0.00195055,0.00942091	2,6
RPL13	16	+	89562389,89563309	0.243854,0.0652339	30,35
RPS2	16	-	1962051,1962176,1962489	0.0320392,0.138357,0.00123291	6,15,1
TERF2	16	-	69370210	0.00869565	2
YPEL3	16	-	30092313	0.000817996	2
AC026954.2	17	-	7312660	0.00207854	5
AC046185.1	17	-	63702844	0.000234714	6
AC120057.2	17	-	7240426	0.00320256	3
ACTG1	17	-	81509970	0.00417246	3
ALYREF	17	-	81887843	0.00696864	2
CD79B	17	-	63928739	0.00823045	4
DDX5	17	-	64499615	0.00259179	12
EIF1	17	+	41691098	0.0183824	5
EVI2B	17	-	31303765	0.00402414	2
GNA13	17	-	65010714	0.000564653	1
GPS2	17	-	7312659	0.00660066	2
KRT10	17	-	40818116	0.00557103	2
P2RX5	17	-	3673226	0.000307787	2
RPL26	17	-	8377515,8379752	0.0888889,0.0312837	12,29
RPL27	17	+	43000103,43002888	0.00834798,0.00182672	7,5
SLC25A19	17	-	75272980	0.00425532	2
MYL12B	18	+	3278043	0.0188679	2
RNF125	18	+	32066140	9.77374e-05	2
TGIF1	18	+	3458088	0.0135135	2
AC008763.3	19	+	7682794	0.0622951	19
AES	19	-	3052909	0.00211416	2
CD79A	19	+	41881254	0.0291971	8
DHPS	19	-	12675716	0.000467508	2
DNAJB1	19	-	14514769	0.0017094	2
EEF2	19	-	3976055	0.0060241	3
EIF3G	19	-	10115016	0.0206186	2
FTL	19	+	48966785	0.06	3
FXYD5	19	+	35169739	0.000904704	3
IFI30	19	+	18178019	0.0277778	3
JUNB	19	+	12793097	0.035461	10
JUND	19	-	18279759	0.0278373	18
KCNN4	19	-	43766532	0.000359971	2
KLF2	19	+	16327438	0.0190024	8
LINGO3	19	-	2289783	0.00934579	1
LSM7	19	-	2321516	0.000662105	3
NDUFA13	19	+	19527770,19528144	0.00378446,0.0503545	4,13
OAZ1	19	+	2273085	0.00307441	3
RPL18	19	-	48615327,48615853	0.00760295,0.0770252	4,16
RPL28	19	+	55388046,55388441	0.110969,0.0100755	3,4
RPL36	19	+	5691621	0.018018	2
RPS11	19	+	49498045,49499651	0.0506624,0.0352438	6,7
RPS15	19	+	1440431	0.0535714	6
RPS16	19	-	39433206	0.0325733	10
RPS19	19	+	41869190	0.00474113	25
RPS28	19	+	8322089,8322349	0.135163,0.00769238	1,2
RPS9	19	+	54207619,54207520	0.102631,0.0796813	23,20
TMEM259	19	-	1009647	0.00138504	2
ZNF552	19	-	57803840	0.0272109	4
ATRAID	2	+	27217033	0.0235294	2
C2orf76	2	-	119302224	0.00809717	2
CXCR4	2	-	136114348	0.0134615	7
IGKC	2	-	88857160	0.095	19
LAPTM4A	2	-	20032649	0.00540541	3
MMADHC	2	-	149569633	0.00588235	2
MSH6	2	+	47810100	0.000282646	3
OST4	2	-	27070471	0.0022805	2
PCBP1	2	+	70088951	0.0145985	2
PTMA	2	+	231712440,231712938	0.00346681,0.00223909	3,3
RPL31	2	+	101006386	0.000954198	2
RPL37A	2	+	216500029,216501448	0.0940928,0.045071	6,6
SF3B1	2	-	197417920	0.00218292	7
TMSB10	2	+	84906563,84906670	0.116901,0.0187604	16,4
WIPF1	2	-	174566160	0.00339751	3
KCNG1	20	-	51003655	0.0104439	4
RPS21	20	+	62387913,62388498	0.0777669,0.00777447	11,4
SMIM26	20	+	18569538	0.0225564	3
ATP5PO	21	-	33903452	0.000503271	2
SIK1	21	-	43414482	0.000885347	2
AC253536.7	22	-	23971377	0.0115607	2
AP000350.4	22	+	23895156	0.0549451	5
ASCC2	22	-	29788607	4.44543e-05	2
CHKB	22	-	50578948	0.0258621	6
DDT	22	-	23971364	0.0107527	2
DDTL	22	+	23971516	0.0181818	2
MIF	22	+	23895156	0.04	2
TSPO	22	+	43163110	0.0168067	2
UQCR10	22	+	29769829	0.000892061	2
ANAPC13	3	-	134477705	0.00226244	2
RPL29	3	-	51993521	0.0187557	26
RPL35A	3	+	197955794	0.00178611	8
H2AFZ	4	-	99948087	0.00534759	1
RBPJ	4	+	26430984	0.0108108	2
RPS3A	4	+	151104285,151104602,151102990,151104149	0.175787,0.06016,0.0117938,0.0250482	8,9,1,15
ARRDC3	5	-	91368723	0.000747384	2
BTF3	5	+	73505394	0.025641	4
CD74	5	-	150401636	0.0257485	43
DUSP1	5	-	172768089	0.0119048	8
NPM1	5	+	171410804	0.0125523	3
PAIP2	5	+	139369477	0.00589102	4
