CDC14A	1	+	100393302	0.000792393	2
ESPN	1	+	6461297	0.0178571	2
GNG5	1	-	84498324	0.000568182	2
LAPTM5	1	-	30732468	0.00147167	2
PATJ	1	+	61925191,61925408	2.28036e-05,4.26789e-05	2,3
RPS27	1	+	153992116	0.00554529	3
RSRP1	1	-	25242236	0.00070028	2
TXNIP	1	-	145992434	0.00211864	3
SPOCK2	10	-	72059034	0.000536913	1
AP002990.1	11	-	62559602	0.000263123	4
CORO1B	11	-	67435509	0.000764234	4
EEF1G	11	-	62559600	0.025641	2
PTPRCAP	11	-	67435509	0.00896861	2
CHD4	12	-	6570081,6574517,6577143	0.00252114,0.000176483,0.000259527	50,2,3
RDH5	12	+	55724613	0.0294118	2
SLC11A2	12	-	50979400	0.000111894	3
ELF1	13	-	40932027	0.000309199	5
AL096870.1	14	-	24332309	0.0251572	4
KLHL28	14	-	44924318	0.000424719	2
NFKBIA	14	-	35401510	0.00164114	3
PNN	14	+	39178077	0.042328	8
SLC25A29	14	-	100291110	0.00043554	2
ATXN2L	16	+	28832812	0.022293	6
C16orf90	16	-	3493483	0.0225352	8
EDC4	16	+	67884213	0.0307692	2
HAGH	16	-	1795619	0.000212149	3
IL32	16	+	3069499	0.0138889	2
RPL13	16	+	89562974	0.0107649	7
RPS2	16	-	1962051	0.00412663	6
DDX5	17	-	64499615	0.000863931	4
MSI2	17	+	57677202	0.0229885	4
TIAF1	17	-	29073520	0.0060423	2
UBB	17	+	16382686	0.0337079	3
EMC10	19	+	50476856	0.0273224	5
FARSA	19	-	12922478	0.000335683	2
JUND	19	-	18279759	0.00440529	3
MKNK2	19	-	2037464	0.000327332	2
PEAK3	19	-	2274621	0.00850662	9
RPL18	19	-	48615327	0.00139665	2
RPS11	19	+	49499608	0.0270238	4
RPS16	19	-	39433206	0.00651466	2
RPS28	19	+	8322306	0.00865801	2
TMEM259	19	-	1009647	0.00138504	2
CNRIP1	2	-	68284170	0.0272374	7
AL121845.3	20	+	63736334	0.00722892	3
CPNE1	20	-	35626030	0.0026738	1
LIME1	20	+	63739021	0.0165289	2
PPDPF	20	+	63521933	0.037037	2
SAMHD1	20	-	36889772	0.000131593	6
ZGPAT	20	+	63736070	0.0198675	3
MAFF	22	+	38215085	0.0144928	3
ARIH2OS	3	-	48917787	0.00817996	4
EIF4A2	3	+	186789900	0.000762389	3
RFTN1	3	-	16313573	0.000614628	1
ABHD18	4	+	128039924	9.68242e-05	3
ANXA5	4	-	121681670	0.00167317	3
THAP9	4	+	82901260	0.0290698	5
DOCK2	5	+	170024498,170083380	0.000230089,8.80122e-05	6,7
FAM153A	5	-	177737047	0.000343318	4
GTF2H2	5	-	71032669	7.0824e-05	2
SQSTM1	5	+	179821724,179822457	0.0563558,0.0518563	8,46
HLA-A	6	+	29945883	0.0163551	6
HLA-B	6	-	31353871	0.00327332	2
SRSF3	6	+	36598787	0.0469314	13
AP4M1	7	+	100110344	0.000372625	3
ESYT2	7	-	158730994	0.000933998	3
TRBC1	7	+	142793252	0.027027	3
AGPAT5	8	+	6709277	0.0490196	10
LOXL2	8	-	23297188	0.00936768	8
NDUFAF6	8	+	95056763	8.81407e-05	1
RPL8	8	-	144789765	0.00253268	3
AQP3	9	-	33441153	0.00224972	2
C9orf72	9	-	27560500	0.00185185	2
PSIP1	9	-	15470635	0.00452489	3
RPL35	9	-	124857879	0.00509338	3
GPM6B	X	-	13771030	0.00142328	5
IDS	X	-	149502659	0.00943396	5
SLC25A5	X	+	119471162	0.0192308	2
SLC35A2	X	-	48903179	0.000441047	3
TMSB4X	X	+	12977037	0.0309735	7
TSC22D3	X	-	107713220	0.00539291	7
