AL713999.1	1	-	155169408	0.000496401	2
C1orf162	1	+	111478333	0.0380952	8
CD48	1	-	160678745	0.00974085	2
CD52	1	+	26320466	0.0243902	4
CDA	1	+	20618766	0.0151515	3
CDK11A	1	-	1702729	0.0030541	7
CTSS	1	-	150730195	0.000392038	6
ENO1	1	-	8860999	0.000283648	2
EPB41	1	+	29120043	3.71532e-05	4
FCER1G	1	+	161219130	0.0374332	6
GNG5	1	-	84498324	0.000568182	2
GUK1	1	+	228148808	0.00904941	1
IVNS1ABP	1	-	185296387	0.00121433	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00809419	11
MCL1	1	-	150574550	0.00354108	10
MNDA	1	+	158849433	0.0459184	9
MRPL20	1	-	1401907	0.0114286	2
PARK7	1	+	7985249	0.0153846	3
RER1	1	+	2403157	0.00232019	2
RNF19B	1	-	32936444	0.00237248	2
RPS27	1	+	153991673,153992122	0.037885,0.0323669	3,3
S100A10	1	-	151982914	0.0201613	5
S100A11	1	-	152032505	0.0384615	6
S100A12	1	-	153373705	0.0578512	7
S100A4	1	-	153543612	0.0684932	10
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.0985915	6
S100A9	1	+	153360899,153361025	1.14045,0.285735	69,53
SARS	1	+	109238002	0.0350877	4
SH3BGRL3	1	+	26281391	0.0269608	11
SRSF11	1	+	70228656	0.0197368	3
TXNIP	1	-	145992434	0.0049435	7
UBXN11	1	-	26281327	0.0061792	6
UQCRH	1	+	46316617	0.0337077	3
YBX1	1	+	42702224	0.00165426	2
AL157392.5	10	+	13630525	0.0108108	2
GDI2	10	-	5765222	0.00235849	2
KIF1BP	10	+	68999895	0.0135135	2
NCOA4	10	-	46005087	0.000492732	2
NDUFB8	10	-	100523936	0.000551572	3
PRPF18	10	+	13630525	0.0108108	2
PSAP	10	-	71816297	0.0131234	15
RPS24	10	+	78040667	0.000741565	1
SRGN	10	+	69104657	0.0297952	16
VIM	10	+	17237559	0.00291957	6
VSIR	10	-	71747558	0.00162426	6
ANKRD13D	11	+	67302450	0.0169492	2
AP001931.1	11	+	57742980	0.00389316	2
AP002990.1	11	-	62559602	0.000654479	9
C11orf98	11	-	62662815	0.0299145	7
CARD16	11	-	105041522	0.00149775	3
CCDC73	11	-	32602245	0.00530973	3
CFL1	11	-	65854674	0.0075643	5
COX8A	11	+	63976472	0.0197368	3
CTSD	11	-	1752751	0.0027907	6
EEF1G	11	-	62559600	0.025641	2
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627,65120908	0.0462963,0.0102916	5,6
LBHD1	11	-	62662816	0.0224359	7
MTRNR2L8	11	-	10507886	0.00754717	2
PSMA1	11	-	14504875	0.0126582	4
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711,119017343	0.00307224,0.0154511	6,9
RPS6KB2	11	+	67435288	0.0168067	2
SELENOH	11	+	57742919	0.0042735	3
SPI1	11	-	47354859	0.00961538	6
TALDO1	11	+	764857	0.0045045	2
TCIRG1	11	+	68050845	0.0344828	2
TPP1	11	-	6612762	0.00031109	2
UBE2L6	11	-	57551655	0.0042735	3
UBXN1	11	-	62676497	0.00909091	2
UCP2	11	-	73974666	0.00486618	2
ARHGDIB	12	-	14942016	0.0158416	8
ARPC3	12	-	110434824	0.0242424	8
ATP5MC2	12	-	53665165	0.0202703	3
BLOC1S1	12	+	55719564	0.0110132	5
BLOC1S1-RDH5	12	+	55719564	0.0110132	5
C12orf45	12	+	104994568	0.0224719	2
DDX47	12	+	12829643	0.0224719	2
DYNLL1	12	+	120498303	0.0116279	2
GAPDH	12	+	6538299	0.0465116	6
GLIPR1	12	+	75499034	0.000854517	2
HCAR3	12	-	122714755	0.00488998	4
LYZ	12	+	69353818,69354216	0.0357702,0.00258141	21,2
MYL6	12	+	56161536	0.00248963	3
NACA	12	-	56712427,56712732	0.00851009,0.00172672	9,1
PTPN6	12	+	6961206	0.00877193	3
RPL41	12	+	56117815	0.175258	51
RPLP0	12	-	120196685	0.000743218	2
RSRC2	12	-	122503457	0.000409357	7
SLC2A3	12	-	7919229	0.00229043	5
SRSF9	12	-	120461667	0.00222646	7
TUBA1B	12	-	49127781	0.00121261	3
UBC	12	-	124911603	0.0181818	2
YBX3	12	-	10699088	0.00136426	3
ZNF385A	12	-	54369132	0.00120773	3
CARS2	13	-	110641586	0.000780336	2
LCP1	13	-	46125919	0.005386	9
RPL21	13	+	27256333,27256517	0.0189707,0.0471036	2,11
TPT1	13	-	45333470	0.000749064	3
CALM1	14	+	90404884	0.00694444	3
FOS	14	+	75282120,75282230	0.0222472,0.115682	10,66
HSP90AA1	14	-	102080737	0.00205339	2
NEDD8-MDP1	14	-	24213954	0.0122612	21
NFKBIA	14	-	35401510	0.00765864	14
SYNJ2BP-COX16	14	-	70326063	0.0111524	3
AC245033.1	15	-	82536787,82538305,82538879	0.0421395,0.000799966,0.000163553	17,12,2
ANPEP	15	-	89784888	0.00434783	2
MYO5A	15	-	52307282	0.0004678	3
NOP10	15	-	34341712	0.0177936	5
PKM	15	-	72199028	0.000263296	2
PPIB	15	-	64155811	0.00947867	2
PSMA4	15	+	78548923	0.0172414	2
RPLP1	15	+	69455532	0.08	2
RPS17	15	-	82536749,82538276	0.0384615,0.0440682	4,24
SERF2	15	+	43794037	0.0757576	20
ALDOA	16	+	30070412	0.097973	29
ATP6V0C	16	+	2519984	0.0292887	7
BFAR	16	+	14650094,14650094	0.015625,0.017094	2,2
CORO7-PAM16	16	-	4340250	0.000243797	5
COTL1	16	-	84565593	0.0159872	20
COX4I1	16	+	85806805	0.00660066	2
METTL26	16	-	634426	0.00416667	2
NPIPB12	16	-	29485632	0.000273748	3
PAM16	16	-	4340247	0.00474338	5
PPP4C	16	+	30085293	0.00865801	2
PSMB10	16	-	67934501	0.0238095	3
PYCARD	16	-	31201484	0.03	3
RPL13	16	+	89563092	0.0986099	32
RPS2	16	-	1962051,1962430	0.0909091,0.00839695	14,11
TSR3	16	-	1349239	0.00209424	2
AC120057.2	17	-	7240426	0.0216105	26
ACTG1	17	-	81509970	0.0166898	12
ALYREF	17	-	81887843	0.010453	3
ARHGAP27	17	-	45393901	0.001287	2
ARHGDIA	17	-	81867720	0.0025974	3
C17orf49	17	+	7017386	0.0451788	9
CD300E	17	-	74609886	0.000723066	2
CXCL16	17	-	4733525	0.00185185	2
DDX5	17	-	64499615	0.00172786	8
EIF1	17	+	41691222	0.0277778	11
EIF4A1	17	+	7578721	0.0170213	4
METTL16	17	-	2416075	3.4756e-05	2
NME1-NME2	17	+	51171741	0.042735	10
NME2	17	+	51171741	0.042735	10
P4HB	17	-	81843158	0.000123541	2
PFN1	17	-	4945651	0.0443548	11
RNASEK	17	+	7014488	0.0017138	2
RNASEK-C17orf49	17	+	7017456	0.037037	5
RPL19	17	+	39204725	0.038961	3
RPL26	17	-	8377515,8379788	0.0584795,0.0258137	10,23
SCRN2	17	-	47837691	0.000935016	2
SLC38A10	17	-	81244999	0.00359712	2
TIMP2	17	-	78852976	0.000674309	3
TMEM107	17	-	8173236	0.00122349	2
TRAPPC1	17	-	7930344	0.00258065	2
MYL12B	18	+	3278094	0.0127389	2
RPL17-C18orf32	18	-	49481680	0.000292483	2
BST2	19	-	17402938	0.0026455	2
C19orf38	19	+	10869539	0.0174419	3
CAPN12	19	-	38730186	0.000558036	2
CFD	19	+	863317	0.0253165	2
EEF2	19	-	3976055	0.0120482	6
FKBP8	19	-	18531750	0.000392157	3
FTL	19	+	48966878	0.258741	37
FXYD5	19	+	35169631	0.000623441	2
GMFG	19	-	39328352	0.00322321	4
IER2	19	+	13154263	0.00493827	2
IFI30	19	+	18178117	0.121359	25
JUNB	19	+	12793150	0.0895522	30
JUND	19	-	18279759	0.00293686	2
LSM7	19	-	2321516	0.000882807	4
MRPS12	19	+	38932839	0.0143885	2
OAZ1	19	+	2273228	0.0389722	18
PLAUR	19	-	43648575	0.0127155	3
PTGIR	19	-	46620467	0.00246305	2
RPL18	19	-	48615327,48615837,48616039	0.00588327,0.106779,0.00660625	3,13,4
RPL28	19	+	55388045,55388339	0.178157,0.0594127	5,6
RPL36	19	+	5691665	0.0437956	6
