AC114490.2	1	-	34981532	0.0029301	7
AL713999.1	1	-	155169408	0.000744602	3
CAPZB	1	-	19338775	0.000752634	3
CCT3	1	-	156308967	7.10757e-05	2
CD2	1	+	116768924	0.0141844	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320506	0.0588235	12
CDC42SE1	1	-	151050970	0.001221	4
GBA	1	-	155234451	0.00368324	2
GJA9-MYCBP	1	-	38864502	0.000326691	3
GUK1	1	+	228148829	0.0227273	3
H3F3A	1	+	226071806	0.00611621	2
HP1BP3	1	-	20775654	0.0234114	6
LAPTM5	1	-	30732468	0.00367918	5
LMNA	1	+	156139210	0.0192308	2
MINOS1	1	+	19626559	0.0253165	4
NECTIN4	1	-	161070994	0.00180072	3
RPS27	1	+	153991675,153992149	0.108139,0.0690261	10,10
S100A10	1	-	151982914	0.0362903	9
S100A11	1	-	152032505	0.0128205	2
S100A4	1	-	153543612	0.0479452	7
S100A6	1	-	153534598	0.0206186	2
SH3BGRL3	1	+	26281257	0.0328467	9
SNRPE	1	+	203870025	0.0215054	2
TMEM35B	1	-	34981534	0.0195492	7
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.00514933	5
ANK3	10	-	60061920	0.0042517	5
VDAC2	10	+	75231149	0.0125	2
AP002990.1	11	-	62559602	0.000263123	4
CARS	11	-	3000921	4.9889e-05	2
CCDC73	11	-	32602245	0.00353982	2
CFL1	11	-	65854674	0.00907716	6
CORO1B	11	-	67435509	0.00363011	19
FAU	11	-	65120627,65120972	0.0697674,0.0192678	12,10
IFITM1	11	+	315179	0.0606061	4
IFITM2	11	+	315179	0.0606061	4
NDUFC2	11	-	78068303	0.00118835	2
PPP1CA	11	-	67398182	0.00568182	2
PRPF19	11	-	60890729	0.00458716	2
PTPRCAP	11	-	67435509	0.058296	13
RPS25	11	-	119015711	0.0222353	17
AC023055.1	12	-	55757274	0.0253165	6
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0121212	4
BIN2	12	-	51281037	0.00433839	2
EID3	12	+	104305051	0.026087	3
GAPDH	12	+	6538285	0.0434783	5
ITGB7	12	-	53191317	0.00179695	2
LDHB	12	-	21635341	0.01	2
LPCAT3	12	-	6976185	0.000368053	2
MAPKAPK5	12	+	111883105	0.0131579	4
MYL6	12	+	56161468	0.00175901	2
NACA	12	-	56712427	0.0139958	12
RPL41	12	+	56117818	0.122449	36
SLC2A3	12	-	7919229	0.00091617	2
SRSF9	12	-	120461667	0.000636132	2
RPL21	13	+	27256323	0.0349509	4
SAP18	13	+	21147325	0.0129032	2
CHD8	14	-	21385193	0.0166931	6
PPP2R5C	14	+	101921382	0.0460526	7
PSME2	14	-	24143364	0.00197408	4
RPL36AL	14	-	49618518	0.00754717	2
AC245033.1	15	-	82536787,82538303	0.000413854,0.000247748	7,3
PPIB	15	-	64155811	0.00947867	2
RPS17	15	-	82536749,82538276	0.00134154,0.00699772	3,7
SAXO2	15	+	82264828	0.0035606	4
SERF2	15	+	43793954	0.0276243	5
AC012184.2	16	+	70316052	0.0208333	1
ALDOA	16	+	30070365	0.0401606	10
COX4I1	16	+	85806805	0.00660066	2
DDX19B	16	+	70316054	0.00162602	2
FBXL16	16	-	692499	0.00112676	2
MRPS34	16	-	1771889	0.00906344	3
RPL13	16	+	89562389,89563019,89563128	0.0654785,0.0480348,0.00930007	8,12,2
RPS2	16	-	1962051	0.00942372	15
SOCS1	16	-	11254404	0.00456621	2
ACTG1	17	-	81509970	0.0236439	17
DDX5	17	-	64499615	0.000431965	2
EIF1	17	+	41690989	0.0122699	2
NME1-NME2	17	+	51171652	0.0482759	7
NME2	17	+	51171652	0.0482759	7
OVCA2	17	+	2043295	0.0209424	4
PFN1	17	-	4945651	0.0322581	8
RPL26	17	-	8377515,8379710	0.0645161,0.0206381	6,19
SKAP1	17	-	48133439,48138258,48139146,48153765,48160044,48180410	0.000158261,9.45036e-05,3.19152e-05,2.45255e-05,1.84392e-05,1.67799e-05	18,10,3,2,1,1
UBB	17	+	16382657	0.0333333	2
MYL12B	18	+	3278154	0.0184332	4
AES	19	-	3052909	0.00211416	2
ATP5F1D	19	+	1244586	0.0184049	3
COX6B1	19	+	35658682	0.0416667	3
EEF2	19	-	3976055	0.00401606	1
FOSB	19	+	45471346	0.00967742	3
FXYD5	19	+	35169718	0.00333839	11
GMFG	19	-	39328352	0.00241741	3
JUNB	19	+	12793126	0.0257235	8
JUND	19	-	18279759	0.00879738	5
MAP2K2	19	-	4090320	0.00722022	2
MYO1F	19	-	8540318	0.00126342	1
NOSIP	19	-	49556602	0.000849257	2
RPL18	19	-	48615327,48616047	0.00705047,0.00335276	10,2
RPL28	19	+	55388047,55388372	0.102079,0.0454254	3,7
RPL36	19	+	5691627	0.0504206	4
RPS11	19	+	49499599	0.00229264	3
RPS15	19	+	1440470	0.0316655	3
RPS16	19	-	39433206	0.0228013	7
RPS19	19	+	41869191	0.0020857	11
RPS28	19	+	8322318	0.00823045	2
RPS9	19	+	54207626,54207522	0.00363636,0.00417973	4,4
S1PR4	19	+	3180079	0.0151515	2
SSBP4	19	+	18434356	0.0181818	2
TRIR	19	-	12730639	0.00348432	3
BCL2L11	2	+	111130381	0.0342466	5
CHCHD5	2	+	112586298	0.0111111	2
FAM136A	2	-	70295974	0.0006035	3
GALM	2	+	38734768	0.00249377	3
OST4	2	-	27070471	0.00454674	3
