DPH5	1	-	100990062	0.0173913	6
HP1BP3	1	-	20775654	0.0199482	5
LMNA	1	+	156139204	0.0204082	1
PIP5K1A	1	+	151199373	0.0233463	6
AP002990.1	11	-	62559602	0.000322272	4
FAM168A	11	-	73400486	0.000425894	3
RBM14-RBM4	11	+	66639970	0.0182927	3
NCOR2	12	-	124328531	0.00362319	2
SLC2A3	12	-	7931350	0.00782123	14
GFER	16	+	1986022	0.0235294	2
NPIPB3	16	-	21402236	0.0425532	2
TCF25	16	+	89878659	0.03125	5
ACTG1	17	-	81509970	0.00278164	2
KAT7	17	+	49832204,49835030	0.000625209,0.000672193	2,5
SLC26A11	17	+	80251536	0.0170455	3
JUND	19	-	18279759	0.00293686	2
RPL28	19	+	55388262	0.00803213	1
CYP20A1	2	+	203252597	0.00485437	2
GALM	2	+	38741237	0.0447761	3
GLS	2	+	190913411	0.0289855	6
ZFP36L2	2	-	43222401	0.0010433	2
RBM39	20	-	35703609,35706913	0.000414378,0.000119291	15,4
MUSTN1	3	-	52833113	0.0333333	7
TMEM110-MUSTN1	3	-	52833120	0.0291262	9
KLHL8	4	-	87160102	0.000162162	3
ATP6V1G2-DDX39B	6	-	31530218	0.000423263	5
DDX39B	6	-	31530218	0.00563698	5
HLA-B	6	-	31353871	0.00490998	3
SRSF12	6	-	89105573	0.00547153	7
TBL2	7	-	73567532	0.000186341	2
WDYHV1	8	+	123434514	0.000306185	2
ITM2A	X	-	79360383	0.00851064	6
