AL713999.1	1	-	155169408	0.00304007	11
ARHGAP30	1	-	161046947	0.00260756	2
C1orf162	1	+	111478280	0.0191083	3
CD247	1	-	167430639	0.00192123	2
CDC42SE1	1	-	151050970	0.000610501	2
CKS1B	1	+	154978968	0.0209424	4
DDOST	1	-	20651766	0.00650808	3
FHL3	1	-	37996769	0.00314961	2
GNG5	1	-	84498324	0.00198526	6
GPR89A	1	+	145630945	0.000411466	3
H3F3A	1	+	226071744	0.0150943	4
HIST2H2AA3	1	-	149842187	0.0254237	3
ITGB3BP	1	-	63440772	0.000293556	2
KDM4A	1	+	43655767,43660313	0.00356376,0.000235556	7,1
KHDRBS1	1	+	32042746	0.0163934	2
LAMTOR5	1	-	110401248	0.00729927	2
MARCKSL1	1	-	32333831	0.00261438	1
MINOS1	1	+	19626551	0.02	3
NLRP3	1	+	247425858	0.0352941	9
PARK7	1	+	7985140	0.0232558	2
PTPN22	1	-	113859062	0.00511509	2
RHOC	1	-	112701105	0.00130039	3
S100A10	1	-	151982914	0.0201613	5
S100A11	1	-	152032505	0.0128205	2
S100A4	1	-	153543612	0.0410959	6
SLC35E2B	1	-	1661477	0.000464684	2
TTC22	1	-	54779711	0.00261267	4
UBXN11	1	-	26281327	0.00205973	2
XCL1	1	+	168581294	0.027027	2
XCL2	1	-	168540764	0.0106952	1
AGAP4	10	-	45825593	0.0100288	3
ITGB1	10	-	32900318	0.000243487	2
PRDX3	10	-	119167702	0.002574	2
PRF1	10	-	70597347	0.00425532	3
RPS24	10	+	78040632	0.000751315	2
SRGN	10	+	69104623	0.00994036	5
VIM	10	+	17236925	0.0023908	3
AP002990.1	11	-	62559602	0.000131562	2
AP003419.1	11	-	67351571	0.0118203	5
ARAP1	11	-	72685068	0.00336134	2
ATP5MG	11	+	118409064	0.0439548	6
CCDC85B	11	+	65891482	0.0222222	2
CORO1B	11	-	67435509	0.00114635	6
COX8A	11	+	63976438	0.0677966	8
CTSD	11	-	1752751	0.000930233	2
