ALDH9A1	1	-	165662215	0.00359712	3
ARHGEF2	1	-	155946850	0.00125156	5
C1orf74	1	-	209779207	0.00165883	6
CCT3	1	-	156308967	7.10757e-05	2
CD48	1	-	160678745	0.00653595	2
CDA	1	+	20618738	0.0294118	5
CTSS	1	-	150730195	0.00011318	2
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219161	0.0504587	11
GNB1	1	-	1785284	0.00146628	3
GNG5	1	-	84498324	0.000803468	2
H3F3A	1	+	226071864	0.038961	15
LAPTM5	1	-	30732468	0.0110375	15
MCL1	1	-	150574550	0.00177054	5
MINOS1	1	+	19626557	0.0192308	3
MTMR11	1	-	149928651	0.0146751	7
NCF2	1	-	183555562	0.00900901	5
PGD	1	+	10419909	0.025	4
PTCH2	1	-	44819843	0.00236686	2
RERE	1	-	8352396	0.000743494	2
RPS27	1	+	153991677,153992139	0.0453014,0.0534192	4,6
S100A10	1	-	151982914	0.0322581	8
S100A11	1	-	152032505	0.0384615	6
S100A12	1	-	153373705	0.0991736	12
S100A4	1	-	153543612	0.0753425	11
S100A6	1	-	153534598	0.103093	10
S100A8	1	-	153390031	0.197183	13
S100A9	1	+	153360918,153361023	1.49517,0.304792	119,56
SELL	1	-	169690666	0.00358102	4
SFPQ	1	-	35176377	0.00122324	1
SH3BGRL3	1	+	26281305	0.0590062	19
SSR2	1	-	156009047	0.000294551	3
TAGLN2	1	-	159918106	0.002886	2
TMEM56-RWDD3	1	+	95246960	0.0222222	2
TRAF3IP3	1	+	209779556	0.039365	5
UBXN11	1	-	26281327	0.0113285	11
YBX1	1	+	42702258	0.00481024	5
BUB3	10	+	123165152	0.0015186	2
FRAT2	10	-	97332496	0.0014556	2
GDI2	10	-	5765222	0.00235849	2
PRDX3	10	-	119167702	0.002574	2
RPS24	10	+	78040696	0.0357105	3
SRGN	10	+	69104564	0.00675676	3
VIM	10	+	17237588	0.0453938	33
AP001931.1	11	+	57742970	0.0025845	1
AP002990.1	11	-	62559602	0.00172569	25
ATP5MG	11	+	118409040	0.0294107	4
BAD	11	-	64269829	0.00527704	2
CFL1	11	-	65854674	0.0151286	10
COX8A	11	+	63976438	0.0338983	4
CTSD	11	-	1752751	0.00511628	10
FAU	11	-	65120627	0.00910019	7
FERMT3	11	+	64223623	0.0152672	2
FTH1	11	-	61964284,61964394	0.028473,0.0514208	35,58
FXYD6-FXYD2	11	-	117820162	0.0141545	9
MPEG1	11	-	59208509	0.00181406	4
MS4A6A	11	-	60172013	0.000479463	3
PPP1CA	11	-	67398182	0.00568182	2
RHOG	11	-	3826977	0.0136752	8
RPS25	11	-	119015711	0.00134831	3
SELENOH	11	+	57742879	0.00302115	2
SIK3	11	-	116843401	2.38217e-05	2
SLC3A2	11	+	62888766	0.0273973	2
TALDO1	11	+	764905	0.0412124	4
TCIRG1	11	+	68050895	0.0277778	3
UNC93B1	11	-	67991103	0.00452489	2
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.00909091	3
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719608	0.0138078	6
BLOC1S1-RDH5	12	+	55719608	0.0138078	6
CKAP4	12	-	106237876	0.00261552	3
CPNE8	12	-	38652184	0.00117855	2
GAPDH	12	+	6538326	0.0576923	9
GNS	12	-	64713444	0.000606796	1
LYZ	12	+	69354094	0.173714	152
M6PR	12	-	8940362	0.000938086	3
MAP3K12	12	-	53479668	0.00132188	2
MYL6	12	+	56161570	0.0434756	7
NACA	12	-	56712427	0.0170361	15
NDUFA12	12	-	94971331	7.81311e-05	2
NFE2	12	-	54292110	0.00760456	2
PFDN5	12	+	53298150,53299372	0.00117418,0.122637	1,17
RAP1B	12	+	68660419	0.000618812	2
RPL41	12	+	56117792	0.104478	28
SLC2A3	12	-	7919229	0.00091617	2
SRSF9	12	-	120461667	0.000636132	2
TMBIM6	12	+	49764806	0.00417369	7
TPI1	12	+	6870563	0.0111111	2
UBC	12	-	124911603	0.0272727	3
YBX3	12	-	10699088	0.000909504	2
LCP1	13	-	46125919	0.00418911	6
RPL21	13	+	27256433,27256551	0.00417725,0.0321918	1,11
SAP18	13	+	21147519	0.00573066	2
DAD1	14	-	22564904	0.000292597	3
NEDD8	14	-	24216851	0.00234926	3
NFKBIA	14	-	35401510	0.00273523	5
RPS29	14	-	49583571	0.0210526	2
SLC7A7	14	-	22773221	0.00175439	4
AC245033.1	15	-	82536787	0.000164019	2
BCL2A1	15	-	79960888	0.0110687	2
C15orf38-AP3S2	15	-	89834307	0.006628	8
CSK	15	+	74802733	0.0136364	3
DMXL2	15	-	51447710	0.00157109	2
LRRC57	15	-	42537819	0.000319336	2
NOP10	15	-	34341712	0.00711744	2
PKM	15	-	72199028	0.000175531	2
RPS17	15	-	82536749	0.00106816	2
SERF2	15	+	43794001	0.0570175	13
ST20-MTHFS	15	-	79845149	0.0333333	2
ALDOA	16	+	30070372	0.195312	50
AMFR	16	-	56361451	0.00480439	7
ATP6V0C	16	+	2519992	0.0445344	11
BOLA2B	16	-	30192933	0.00952381	4
CES1	16	-	55802850	0.00140805	5
CORO7-PAM16	16	-	4340250	0.000139386	3
COTL1	16	-	84565593	0.0135891	17
COX4I1	16	+	85806805	0.00660066	2
ELOB	16	-	2771413	0.00319489	2
MRPS34	16	-	1771889	0.0060423	2
NDUFB10	16	+	1961857	0.0162602	2
PAM16	16	-	4340247	0.00242326	3
PSMB10	16	-	67934501	0.015873	2
RNF166	16	-	88696494	0.0010929	2
RPL13	16	+	89562391,89563105	0.0881044,0.0448517	11,13
RPS2	16	-	1962051,1962420	0.0694444,0.00681818	10,9
TMEM219	16	+	29972988	0.00206044	3
AC120057.2	17	-	7240426	0.0528405	65
ACTG1	17	-	81509970	0.0222531	16
ASGR1	17	-	7173430	0.00760456	4
CAMTA2	17	-	4967991	0.000144592	1
CCL3	17	-	36088255	0.0120192	5
CD300C	17	-	74541107	0.004158	2
DDX5	17	-	64499615	0.000647948	3
EIF1	17	+	41691295	0.0170576	8
EIF4A1	17	+	7578582	0.0625	6
GRN	17	+	44352923	0.0221402	6
H3F3B	17	-	75776433,75778193	0.00847872,0.0582267	19,30
NAT9	17	-	74770546	0.00110926	2
NME1-NME2	17	+	51171650	0.013986	2
NME2	17	+	51171650	0.013986	2
P4HB	17	-	81843158	0.000123541	2
POLG2	17	-	64477784	0.010101	2
PSMB3	17	+	38762455	0.00104167	2
RNASEK-C17orf49	17	+	7017425	0.0192308	2
RPL26	17	-	8377515,8379738	0.115702,0.0286929	14,27
SRSF2	17	-	76734114	0.000977517	2
TOB1	17	-	50862222	0.00396301	3
AC090227.1	18	-	49795792	6.51933e-05	2
MYL12A	18	+	3256165	0.0161943	4
MYL12B	18	+	3278089	0.0263158	4
PQLC1	18	-	79902419	4.22931e-05	2
RPL17-C18orf32	18	-	49481680	0.00116041	7
SNRPD1	18	+	21629109	0.000385282	2
AC007192.1	19	+	18178117	0.0026171	22
AC008763.3	19	+	7682687	0.0656566	13
AD000671.2	19	-	35739251	0.000585823	3
BLVRB	19	-	40447764	0.000871767	8
BST2	19	-	17402938	0.0026455	2
EEF2	19	-	3976055	0.00401606	1
FOSB	19	+	45473312	0.00431965	2
FTL	19	+	48966875	0.214286	30
GMFG	19	-	39328352	0.00318694	3
GPX4	19	+	1106693	0.0204082	2
HNRNPL	19	-	38836387	0.000381971	2
IFI30	19	+	18178115	0.0539216	11
JUNB	19	+	12793146	0.0302115	10
JUND	19	-	18279759	0.0249619	16
KLF2	19	+	16327401	0.0208333	8
LILRA5	19	-	54307069	0.0058309	2
MBOAT7	19	-	54173411	0.000194894	2
NDUFA11	19	-	5894674	0.000295465	2
NDUFA13	19	+	19528157	0.0986669	23
NDUFB7	19	-	14566077	0.00398406	3
OSCAR	19	-	54094667	0.0019802	2
PLAUR	19	-	43648575	0.00636943	2
RPL18	19	-	48615327,48615806	0.0020882,0.0542387	1,8
RPL28	19	+	55388049,55388346	0.112287,0.0384677	4,4
RPL36	19	+	5691618	0.0185185	2
RPS11	19	+	49499632	0.0664827	15
RPS16	19	-	39433206	0.0260586	8
RPS28	19	+	8322088,8322315	0.0912351,0.0625237	1,3
RPS9	19	+	54207562,54207520	0.0591583,0.0115473	10,10
STRN4	19	-	46719506	0.00182648	2
TYROBP	19	-	35904400,35907143	0.127481,0.00650156	30,1
UBA52	19	+	18575220	0.0285714	2
ARPC2	2	+	218254175	0.0115385	3
CALM2	2	-	47160081	0.0011383	2
CLK1	2	-	200853008	0.000595504	4
COPS9	2	-	240130825	0.0222222	5
LIMS1	2	+	108684215	0.00925926	2
MOB1A	2	-	74152527	0.00049505	2
OST4	2	-	27070471	0.00569159	4
POLE4	2	+	74969544	0.0163934	2
PTMA	2	+	231712442,231712760	0.00408678,0.00353215	4,4
RPL31	2	+	101006416	0.00235183	5
RPL37A	2	+	216500030,216501376	0.0177583,0.0520127	1,5
TMSB10	2	+	84906658	0.170213	40
YWHAQ	2	-	9583971	0.00152207	2
ZFP36L2	2	-	43222401	0.00521648	10
AL121845.3	20	+	63739103	0.00125628	4
CD93	20	-	23079348	0.000434688	2
CTSZ	20	-	58995184	0.00862069	4
OGFR	20	+	62813773	0.016129	2
PLTP	20	-	45898620	0.009375	3
RGS19	20	-	64073180	0.00446429	3
RPS21	20	+	62388363	0.00830565	5
SEC23B	20	+	18560859	0.0168067	2
SNRPB	20	-	2461633	0.000533428	3
TMEM189-UBE2V1	20	-	50081123	0.00121655	2
TMEM230	20	-	5099839	0.00210305	2
UBE2V1	20	-	50081123	0.000130031	1
ZGPAT	20	+	63736141	0.018018	4
ATP5PO	21	-	33903452	0.000996788	3
ITGB2	21	-	44885952	0.000615618	13
AP000350.4	22	+	23895154	0.0337079	3
CHCHD10	22	-	23765833	0.00571429	2
