MCL1	1	-	150574550	0.000708215	2
S100A4	1	-	153543612	0.0136986	2
S100A6	1	-	153534598	0.0206186	2
S100A9	1	+	153360966	0.0390625	5
AP002990.1	11	-	62559602	0.000814272	12
FAU	11	-	65120627	0.00347222	3
TALDO1	11	+	764925	0.00585938	3
LYZ	12	+	69354187	0.0227273	22
RPL41	12	+	56117703	0.0335196	6
ALOX5AP	13	+	30764200	0.0319149	2
KCTD12	13	-	76880165	0.0003996	2
RPL21	13	+	27256461	0.00180668	2
ACTN1	14	-	68874142	0.0027933	2
NFKBIA	14	-	35401510	0.00218818	4
PKM	15	-	72199028	0.000351062	4
PLCB2	15	-	40287906	0.00247525	2
SERF2	15	+	43793879	0.0188679	2
ALDOA	16	+	30070259	0.027972	4
AC120057.2	17	-	7240426	0.0231608	28
DDX5	17	-	64499615	0.000863931	4
FTL	19	+	48966877	0.0774648	11
IFI30	19	+	18178027	0.0689655	8
JUND	19	-	18279759	0.00587372	4
RPS11	19	+	49499658	0.00283863	4
RNF149	2	-	101271221	0.000960615	2
TMSB10	2	+	84906620	0.0304569	6
EVA1C	21	+	32457750	0.029703	3
DUSP1	5	-	172768089	0.016369	11
HLA-B	6	-	31353871	0.00654664	4
LY86	6	+	6654794	0.011976	2
ACTB	7	-	5527146	0.00892221	16
RPL30	8	-	98041720	0.00186451	6
RPL8	8	-	144789765	0.00253998	3
FCN1	9	-	134909584	0.00938967	2
GPR82	X	+	41728174	0.0218978	3
TSC22D3	X	-	107713220	0.00154083	2
