CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320463	0.0869565	14
ENO1	1	-	8860999	0.000567295	4
FCMR	1	-	206904385	0.000233945	2
GNG5	1	-	84498324	0.000568182	2
H3F3A	1	+	226071903	0.0377358	16
LAPTM5	1	-	30732468	0.00441501	6
MINOS1	1	+	19626504	0.0194175	1
MINOS1-NBL1	1	+	19626449	0.000156464	4
PARP1	1	-	226392257	0.00293255	2
PRDX1	1	-	45511035	0.0102389	3
RABGGTB	1	+	75794734	0.0238095	2
RPS27	1	+	153991676,153992134	0.190866,0.225131	19,38
SLC30A7	1	+	100974969	0.0357143	4
SRM	1	-	11054588	0.0104447	2
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.00205973	2
ZNF326	1	+	90026155,90035528	0.000145744,0.00018324	2,4
PFKP	10	+	3136710	0.0229008	3
PPA1	10	-	70202829	0.00615385	2
RPS24	10	+	78040698	0.00219941	6
TIAL1	10	-	119588166	0.000377929	2
AAMDC	11	+	77885301	0.00641026	3
AP001931.1	11	+	57742246,57742936	0.0412533,0.131463	1,13
AP002990.1	11	-	62559602	0.00444414	66
AP003419.1	11	-	67351571	0.0330969	14
ATP5MG	11	+	118408989	0.00146771	3
CCDC73	11	-	32602245	0.00353982	2
CCDC85B	11	+	65891528	0.0147059	2
CFL1	11	-	65854674	0.01059	7
CORO1B	11	-	67435509	0.0022927	12
CYB561A3	11	-	61348744	0.000461787	2
EEF1G	11	-	62559600	0.0641026	5
FAU	11	-	65120627,65120923	0.113821,0.0211268	14,12
HSPA8	11	-	123057488	0.0204082	5
PTPRCAP	11	-	67435509	0.0358744	8
RASGRP2	11	-	64726910	0.000141483	2
RPL27A	11	+	8684792,8685701	0.00358309,0.0879931	3,17
RPS25	11	-	119015711,119015830,119017329	0.00871363,0.0809339,0.0090786	5,13,5
RPS3	11	+	75404816,75405640	0.135656,0.0501348	28,14
SELENOH	11	+	57742246,57742936	0.0412533,0.131463	1,13
UBE2L6	11	-	57551655	0.0042735	3
UCP2	11	-	73974666	0.00973236	4
UQCC3	11	+	62672211	0.0206186	2
AC023055.1	12	-	55757274	0.00843882	1
AC073610.2	12	-	48921962	0.0138249	3
ANKRD13A	12	+	110027756	0.00150719	9
ARPC3	12	-	110434824	0.00606061	2
BLOC1S1	12	+	55719579	0.00639659	3
BLOC1S1-RDH5	12	+	55719579	0.00639659	3
C12orf76	12	-	110027027	0.0012945	2
CD69	12	-	9752485	0.0040201	4
FKBP11	12	-	48921958	0.00112066	3
MYL6	12	+	56161496	0.0357115	3
NACA	12	-	56712427,56712754	0.0179849,0.0291536	8,18
PHB2	12	-	6965351	0.00182315	2
PTPN6	12	+	6961221	0.00560224	2
RPL41	12	+	56117826	0.238411	72
RPLP0	12	-	120196685	0.00699052	18
SLC2A3	12	-	7919229	0.00137426	3
TUBA1A	12	-	49184795	0.0139397	2
GPR18	13	-	99254713	0.0184049	3
RPL21	13	+	27256332,27256554	0.161195,0.0656596	24,16
ARID4A	14	+	58303756	0.0657277	14
IGHM	14	-	105851704	0.0613027	16
NFKBIA	14	-	35401510	0.00109409	2
PPP2R5C	14	+	101843827	0.000404715	8
RPS29	14	-	49583571	0.0315789	3
RTRAF	14	+	52004521	0.0178571	2
TCL1A	14	-	95709966	0.00430571	11
AC245033.1	15	-	82536787,82538304,82538878	0.0744961,0.000651835,0.000102567	19,9,1
BNIP2	15	-	59669288	0.000315225	3
CLN6	15	-	68206991	9.64669e-05	4
NOP10	15	-	34341712	0.00711744	2
RPLP1	15	+	69456194	0.00436681	3
RPS17	15	-	82536749,82538273	0.0693069,0.0385866	7,21
SERF2	15	+	43793997	0.0133929	3
ULK3	15	-	74836115	0.000306044	1
ALDOA	16	+	30070384	0.0410448	11
CD19	16	+	28939208	0.00816327	2
COX4I1	16	+	85806803,85806957	0.00996678,0.00108578	3,2
FAM173A	16	+	722378	0.011236	2
PSMB10	16	-	67934501	0.015873	2
RNPS1	16	-	2253115	0.00235849	2
RPL13	16	+	89562391,89562967,89563160	0.00979686,0.328627,0.0309993	1,69,11
RPS15A	16	-	18781294	0.000292056	1
RPS2	16	-	1962051,1962456	0.138889,0.0171256	25,21
TRAF7	16	+	2176735	0.0124224	1
AC026954.2	17	-	7312660	0.000694927	2
AC120057.2	17	-	7240426	0.00960769	12
ACTG1	17	-	81509970	0.0069541	5
ARHGDIA	17	-	81867720	0.0017316	2
CD79B	17	-	63928739	0.0123457	6
COPS3	17	-	17246819	6.82058e-05	2
CTDNEP1	17	-	7243590	0.003367	2
EIF1	17	+	41691188	0.0138122	5
EIF4A1	17	+	7578727	0.0373444	9
KANSL1	17	-	46029915	0.00128205	2
LRRC37A	17	+	46337794	0.028169	2
NME1-NME2	17	+	51171743	0.131356	31
NME2	17	+	51171743	0.131356	31
P2RX5	17	-	3673226	0.000307787	2
PFN1	17	-	4945651	0.00806452	2
RNASEK-C17orf49	17	+	7017403	0.0243902	2
RNF167	17	+	4944984	0.0145985	2
RPL19	17	+	39204701	0.0377358	2
RPL26	17	-	8377515,8379787	0.0882353,0.0493274	15,44
SRSF2	17	-	76734114	0.000977517	2
TP53	17	-	7668401	0.000407747	2
UBB	17	+	16382662	0.0307692	2
WDR81	17	+	1738538	0.00586166	5
ZNF652	17	-	49289207	0.000217273	2
MYL12A	18	+	3256069	0.0264901	4
AC007192.1	19	+	18178114	0.00122789	10
AC008763.3	19	+	7682759	0.0259259	7
AC011462.1	19	+	41424888	0.00714286	2
BCKDHA	19	+	41424888	0.00714286	2
CD79A	19	+	41881202	0.0315315	6
COX6B1	19	+	35658678	0.0294118	2
DUS3L	19	-	5785455	0.00222222	3
FCER2	19	-	7688757	0.0114943	5
FTL	19	+	48966873	0.0507246	7
GMFG	19	-	39328352	0.0016116	2
GPX4	19	+	1106680	0.0298507	4
ISOC2	19	-	55452984	0.00928793	3
JUND	19	-	18279759	0.020558	14
LSM7	19	-	2321516	0.000441404	2
MAST3	19	+	18151692	0.00101729	2
MBOAT7	19	-	54173411	0.000389788	4
MIDN	19	+	1257546	0.00729927	2
MRPS12	19	+	38932795	0.0210526	2
NDUFA13	19	+	19528088	0.00739625	8
PRMT1	19	+	49688402	0.0191083	3
RPL18	19	-	48615327,48615874	0.0336134,0.133163	4,30
RPL28	19	+	55388098,55392082	0.0986008,0.00337965	8,13
RPL36	19	+	5691664	0.0364964	5
RPS11	19	+	49498046,49499661	0.112188,0.0331578	13,7
RPS15	19	+	1440476	0.06942	9
RPS16	19	-	39433206	0.0814332	25
RPS19	19	+	41871412,41869191	0.0571429,0.00587789	2,31
RPS28	19	+	8322092,8323340	0.228882,0.00641026	3,8
RPS5	19	+	58394801	0.0392157	2
RPS9	19	+	54207606,54207522	0.0938923,0.015674	19,14
SPINT2	19	+	38292130	0.0322581	4
SSBP4	19	+	18434324	0.0384615	3
BOLA3	2	-	74135397	0.0102564	2
COX7A2L	2	-	42349337	0.000256323	3
CXCR4	2	-	136114348	0.0192308	10
DBI	2	+	119372430	0.0178571	2
DUSP2	2	-	96143165	0.00456621	3
IGKC	2	-	88857160,88857273	0.070826,0.285457	14,24
IL1B	2	-	112829750	0.00327869	2
NOP58	2	+	202297829	0.00742574	3
OST4	2	-	27070471	0.00569311	4
PTMA	2	+	231712537	0.00624135	7
RPL31	2	+	101006175	0.00106101	1
RPL37A	2	+	216500029,216501465	0.183099,0.046875	13,6
TMSB10	2	+	84906672	0.0963855	24
YWHAQ	2	-	9583971	0.00152207	2
PPDPF	20	+	63522077	0.010101	2
RPS21	20	+	62388361,62388517	0.0628917,0.0663838	13,8
SNRPB	20	-	2461633	0.000533428	3
TMEM189-UBE2V1	20	-	50081123	0.00121655	2
UBE2V1	20	-	50081123	0.000130031	1
ATP5PO	21	-	33903452	0.000503271	2
HMGN1	21	-	39342314	0.000581395	3
RRP1	21	+	43803888	0.0175439	2
U2AF1	21	-	43092955	0.000261335	1
AP000350.4	22	+	23895203	0.057971	8
IGLL5	22	+	22895727	0.0296053	9
MIF	22	+	23895204	0.0408163	3
RAC2	22	-	37225260	0.00212465	3
SNU13	22	-	41673929	0.00199402	1
XRCC6	22	+	41664048	0.00858369	2
CNBP	3	-	129169483	0.00309598	3
EIF1B	3	+	40312200	0.016129	3
RPL15	3	+	23919905	0.00742574	3
RPL29	3	-	51993521	0.0243142	34
RPL35A	3	+	197954127	0.0158789	17
RPSA	3	+	39412418	0.04	2
SPCS1	3	+	52707912	0.02	2
TAMM41	3	-	11790441	0.000146881	8
TMA7	3	+	48443973	0.032967	3
CCNI	4	-	77047157	0.00280279	2
RPS3A	4	+	151104286,151104636,151104174	0.195613,0.0963936,0.0131477	9,18,17
ANKHD1	5	+	140539647	0.0218341	5
BTF3	5	+	73505442	0.0392157	8
CAMLG	5	+	134750882	0.0252101	3
CD74	5	-	150401636,150405315	0.0413174,0.00308642	69,3
CLINT1	5	-	157785742	0.000409668	2
DUSP1	5	-	172768089	0.0297619	20
NPM1	5	+	171410847	0.0638298	18
NSA2	5	+	74776760	0.0183486	2
RACK1	5	-	181236908,181237579	0.00294254,0.000319231	17,1
SMN2	5	+	70070481	0.0028169	4
SUB1	5	+	32604077	0.000354345	3
TAF7	5	-	141318487	0.00788955	4
ATP6V1G2-DDX39B	6	-	31530218	0.000978536	11
BLOC1S5-TXNDC5	6	-	7881521	0.000302206	7
DDX39B	6	-	31530218	0.0134663	11
HLA-A	6	+	29945616	0.0248447	3
HLA-B	6	-	31353871	0.0212766	13
HLA-C	6	-	31268748	0.000790514	2
HLA-DMB	6	-	32934628	0.00877193	3
HLA-DPB1	6	+	33086831	0.0610158	17
HLA-DRA	6	+	32445039	0.0434012	49
HLA-DRB1	6	-	32578768,32578908	0.0572327,0.145995	18,26
HLA-DRB5	6	-	32517342	0.030303	12
LTB	6	-	31580554	0.00199203	2
RPS10	6	-	34417453	0.00274348	1
SF3B5	6	-	144094880	0.00561798	2
TXNDC5	6	-	7881516	0.0043024	7
Z84488.2	6	+	116463489	0.016129	2
ACTB	7	-	5527146	0.0106899	20
ATP6V1F	7	+	128865665	0.0229885	2
CHCHD2	7	-	56101568	0.0248227	7
TSPAN13	7	+	16784536	0.00191388	2
ZNF655	7	+	99564148	0.00319829	3
CHD7	8	+	60749248,60780838	0.000186616,0.00010016	1,3
EEF1D	8	-	143579696	0.0167263	12
RPL30	8	-	98041720,98042643	0.0924176,0.00336837	39,7
RPL8	8	-	144789765	0.0383301	44
RPS20	8	-	56072946	0.0189445	14
NRARP	9	-	137300481	0.00362976	4
RPL35	9	-	124857879	0.0135823	8
CMC4	X	-	155061621	0.0271493	6
IL2RG	X	-	71107403	0.00218103	2
