CD52	1	+	26320401	0.020202	2
RHCE	1	-	25362248	0.000363813	3
RHD	1	+	25330444	0.000448029	6
RPS27	1	+	153992079	0.00595238	3
CREM	10	+	35212955	0.000264216	9
ACAT1	11	+	108147459	0.0289855	2
CORO1B	11	-	67435509	0.00133741	7
PTPRCAP	11	-	67435509	0.0179372	4
CD69	12	-	9752485	0.0040201	4
IFT43	14	+	75986317	0.0136054	2
ATXN2L	16	+	28832766	0.0223881	6
DDX19B	16	+	70315045	0.0316742	7
RPS2	16	-	1962051	0.0017762	3
DDX5	17	-	64499615	0.000431965	2
TTC39C	18	+	24135262	0.000744048	2
FOSB	19	+	45473005	0.025641	4
HAUS8	19	-	17050063	0.000157837	3
JUND	19	-	18279759	0.00293686	2
KLF2	19	+	16327873	0.00350467	3
MKNK2	19	-	2037464	0.000327332	2
RPL28	19	+	55388293	0.00714286	2
COPS8	2	+	237087769	0.0115385	3
CXCR4	2	-	136114348	0.00384615	2
PTMA	2	+	231712205	0.00498661	3
ZFP36L2	2	-	43222401	0.0010433	2
APMAP	20	-	24962924	0.00225225	2
KIZ	20	+	21136386	0.000466527	2
RPS21	20	+	62388007	0.00813008	2
SIK1	21	-	43414482	0.00132802	3
PIK3IP1	22	-	31281592	0.00118906	1
HACD2	3	-	123491553	0.00089982	3
SEC62	3	+	169976996	0.00217707	3
SQSTM1	5	+	179821859	0.0342466	10
CD164	6	-	109366513	0.000855798	2
HLA-A	6	+	29945809	0.0254237	9
HLA-B	6	-	31353871	0.0130874	7
HLA-C	6	-	31268748	0.00118577	3
ACTB	7	-	5527146	0.00105374	1
COA1	7	-	43608455	9.63824e-05	3
DOK2	8	-	21909614	0.00493421	6
EEF1D	8	-	143579696	0.00321543	3
FBXO16	8	-	28348286	0.000630467	8
PLS3	X	+	115614270	0.0322581	2
TAF9B	X	-	78129747	0.00107411	2
TSC22D3	X	-	107713220	0.00154083	2
