BTG2	1	+	203307528	0.0222222	2
CC2D1B	1	-	52350592	0.000683527	2
CCNL2	1	-	1386481	0.000333556	2
CD48	1	-	160678745	0.00973648	2
CD52	1	+	26320487	0.0378378	7
GUK1	1	+	228148900	0.0147783	3
H3F3A	1	+	226071692	0.00938967	2
LAMTOR5	1	-	110401248	0.00729927	2
LCK	1	+	32285860	0.0138889	2
LIX1L	1	-	145933422	0.00103914	3
MCL1	1	-	150574550	0.000708215	2
MMACHC	1	+	45513382	0.000719942	3
NASP	1	+	45615404	7.5061e-05	2
NM_ENSA	1	-	150621250	0.000328893	2
PRDX1	1	-	45511035	0.0102389	3
RPS27	1	+	153991676,153992123	0.0756408,0.0830321	7,13
S100A4	1	-	153543612	0.0273973	4
S100A6	1	-	153534598	0.0206186	2
SELENOF	1	-	86862444	0.000539084	2
SH3BGRL3	1	+	26281339	0.00561798	2
UBXN11	1	-	26281327	0.00411946	4
RPS24	10	+	78040694	0.000734214	2
VIM	10	+	17236596	0.00318669	3
AP002990.1	11	-	62559602	0.00258232	38
ARNTL	11	+	13378534	0.031746	4
CD44	11	+	35187524	0.00585652	4
CORO1B	11	-	67435509	0.00496752	26
EEF1G	11	-	62559600	0.025641	2
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627,65120913	0.079646,0.0103806	9,6
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315222	0.0642202	7
IFITM2	11	+	315222	0.0642202	7
PTPRCAP	11	-	67435509	0.0627803	14
RPS25	11	-	119015711,119017350	0.00244633,0.0145996	5,8
AC048338.1	12	-	122207778	0.00018875	2
ARPC3	12	-	110434824	0.00909091	3
DIABLO	12	-	122207661	0.000106564	2
EID3	12	+	104305083	0.0136054	2
GAPDH	12	+	6538238	0.0294118	2
NACA	12	-	56712427	0.00704797	7
NELL2	12	-	44508274	0.0030349	2
PCBP2	12	+	53464809	0.000870322	2
RPL41	12	+	56117818	0.166667	49
RPLP0	12	-	120196685	0.00185003	4
UBC	12	-	124911603	0.0181818	2
AL928654.3	14	+	105488731	0.00909091	2
CRIP1	14	+	105488731	0.00909091	2
DAD1	14	-	22564904	0.000195065	2
DEGS2	14	-	100143956	0.00174338	5
FLVCR2	14	+	75646567	0.0315789	3
AAGAB	15	-	67201032	0.00111857	2
CHD2	15	+	92902787	0.00283286	4
DPP8	15	-	65442462	0.000149757	1
PPIB	15	-	64155811	0.00947867	2
ALDOA	16	+	30070325	0.0478469	10
ARL6IP1	16	-	18791666	0.000665115	1
CKLF	16	+	66565943	0.000702247	2
CKLF-CMTM1	16	+	66565943	0.000702247	2
COTL1	16	-	84565593	0.00159872	2
DEXI	16	-	10928890	0.000155921	2
IL32	16	+	3069420	0.0307692	2
RPL13	16	+	89562389,89563230	0.149081,0.0542422	18,24
RPS2	16	-	1962051,1962483	0.101449,0.0127267	21,15
AC004687.2	17	-	58345205	0.000954502	6
AC120057.2	17	-	7240426	0.00800641	10
ACTG1	17	-	81509970	0.00973574	7
C17orf49	17	+	7017389	0.10711	19
EIF4A1	17	+	7578727	0.00829876	2
LUC7L3	17	+	50738814	0.0030722	2
NME1-NME2	17	+	51171602,51171726	0.133631,0.0242241	12,5
NME2	17	+	51171602,51171726	0.133631,0.0242241	12,5
NR1D1	17	-	40092786	0.00675676	2
P4HB	17	-	81843158	0.000123541	2
PFN1	17	-	4945651	0.016129	4
RNASEK	17	+	7013624	0.0264026	8
RNASEK-C17orf49	17	+	7017428	0.102804	11
RPL26	17	-	8377515,8379736	0.0840336,0.0360545	10,33
RPL27	17	+	43002956	0.00285213	10
SUPT4H1	17	-	58345177	0.00561798	6
MYL12B	18	+	3278049	0.0178571	2
NFATC1	18	+	79499662	4.54849e-05	3
AC003002.2	19	+	57438326	0.0406977	7
AC008763.3	19	+	7682622	0.037594	5
EEF2	19	-	3976055	0.0100402	5
FTL	19	+	48966797	0.0483871	3
JUND	19	-	18279759	0.0161527	11
NDUFA13	19	+	19528145	0.00470248	8
PPP1R15A	19	+	48875370	0.0180505	5
PRDX2	19	-	12796819	0.00632911	2
RPL18	19	-	48615327,48615824,48616026	0.0040247,0.0945588,0.00533503	2,12,3
RPL28	19	+	55388047,55388336,55403225	0.142334,0.093699,0.0319149	4,12,2
RPL36	19	+	5691717	0.0193237	4
RPS11	19	+	49498045,49499642	0.0468414,0.090221	5,15
RPS15	19	+	1440388	0.0289855	2
RPS16	19	-	39433206	0.0358306	11
RPS19	19	+	41869192	0.0028436	15
RPS28	19	+	8322090,8322336	0.0885016,0.0447863	1,3
RPS9	19	+	54207647,54207519	0.0796299,0.0430108	20,12
UBA52	19	+	18575306	0.0128205	2
ZNF564	19	-	12525369	0.00371747	4
ARPC2	2	+	218254046	0.0305344	4
OST4	2	-	27070471	0.0022805	2
PRPF40A	2	-	152672547	0.000334608	6
PTMA	2	+	231712440,231713196	0.00534042,0.00142561	5,2
RPL31	2	+	101007267	0.000671817	2
RPL37A	2	+	216500032,216501415	0.0532975,0.0400513	3,4
SLC20A1	2	+	112657470	0.0204918	5
TMSB10	2	+	84906644	0.117647	26
ZFP36L2	2	-	43222401	0.0010433	2
EIF2S2	20	-	34088297	0.0027933	4
LIME1	20	+	63739067	0.0299401	5
RPS21	20	+	62387914,62388469	0.0265215,0.00617667	4,3
EIF3L	22	+	37888580	0.0143885	2
HCLS1	3	-	121631398	0.00447427	2
RPL35A	3	+	197955782	0.00223864	10
SPCS1	3	+	52707950	0.0144928	2
TMA7	3	+	48443950	0.0294118	2
TRA2B	3	-	185915905,185918960,185925516,185925886	0.000660825,0.000236195,0.000401956,0.000454088	10,3,2,2
RPS3A	4	+	151104285,151104651,151104151	0.130435,0.0714286,0.074165	6,13,12
ADAM19	5	-	157395533	5.75239e-05	6
BTF3	5	+	73505383	0.0206897	3
NPM1	5	+	171410744	0.027933	5
SLF1	5	+	94651749	0.000914495	2
ABCF1	6	+	30597176	0.000772201	5
HLA-A	6	+	29945884	0.016317	7
HLA-B	6	-	31353871	0.0425344	25
HLA-C	6	-	31268748,31268858	0.00549273,0.000455952	13,1
HLA-E	6	+	30494081	0.00466667	7
LTB	6	-	31580554	0.00996016	10
RPS10	6	-	34417453	0.00274348	1
TAPBP	6	-	33299693	0.000968054	2
TBCC	6	-	42744480	0.00724638	4
YIPF3	6	-	43511826	0.000470588	2
ZNF451	6	+	57147349	0.000561272	3
AC004922.1	7	+	99394650	0.0688073	15
ACTB	7	-	5527146	0.0052687	10
ARF5	7	+	127591525	0.0176991	4
ARPC1B	7	+	99394663	0.0691284	14
CYP51A1	7	-	92112150	0.00594452	9
GSTK1	7	+	143268948	0.016	2
MDH2	7	+	76066482	0.0277778	2
NUB1	7	+	151352882	0.030303	2
DOK2	8	-	21908872	0.00456621	2
EEF1D	8	-	143579696	0.00854541	7
RPL30	8	-	98041720,98042643	0.053956,0.0021538	25,4
RPL8	8	-	144789765	0.00698431	10
RPS20	8	-	56072946	0.0108254	8
VDAC3	8	+	42405627	0.0121212	2
ANP32B	9	+	98015610	0.0167598	3
C9orf131	9	+	35042589	0.0224719	2
EDF1	9	-	136862118	0.0118694	4
RPL35	9	-	124857879	0.0152801	9
SEC61B	9	+	99230547	0.0162602	2
SPTAN1	9	+	128633504	0.0117647	2
VCP	9	-	35056063	0.00189934	2
IDS	X	-	149502659	0.00377358	2
PLP2	X	+	49174900	0.00970874	1
RPL36A	X	+	101395445	0.00119048	4
RPL39	X	-	119786505,119786618	0.0177236,0.0899263	3,5
TMSB4X	X	+	12977180	0.0894309	33
UBQLN2	X	+	56565968	0.0227273	5
