AL713999.1	1	-	155169408	0.000496401	2
ARHGAP30	1	-	161046947	0.00521512	4
ATP1A1	1	+	116404539	0.0210526	2
CDA	1	+	20618837	0.0111524	3
CSF3R	1	-	36466042	0.00955414	3
CTSS	1	-	150730195	0.000339539	6
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219187	0.0409836	10
G0S2	1	+	209676213	0.0138249	3
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.000852273	3
HIST2H2AA3	1	-	149842187	0.0423729	5
HIST2H2AA4	1	+	149851621	0.0347826	4
HIST2H2BE	1	-	149884458	0.00111049	2
JAK1	1	-	64833228	0.00150038	2
LAMTOR5	1	-	110401248	0.0109489	3
LAPTM5	1	-	30732468	0.00809419	11
MCL1	1	-	150574550	0.00389518	11
MNDA	1	+	158849435	0.040404	8
MRPL20	1	-	1401907	0.0114286	2
PTP4A2	1	-	31906420	0.000539738	4
RPL11	1	+	23696324	0.000458085	2
RPS27	1	+	153991675,153992154	0.15,0.0326087	15,3
S100A10	1	-	151982914	0.0564516	14
S100A11	1	-	152032505	0.0320513	5
S100A12	1	-	153373705	0.0661157	8
S100A4	1	-	153543612	0.0821918	12
S100A6	1	-	153534598	0.0618557	6
S100A8	1	-	153390031	0.225352	16
S100A9	1	+	153361027	1.24339	235
SRP9	1	+	225787149	0.0111111	2
SYF2	1	-	25222678	0.00340716	2
TAGLN2	1	-	159918106	0.00865801	6
TMEM50A	1	+	25360796	0.021978	2
TPM3	1	-	154155303,154156632,154167063	0.000604003,0.000172065,0.000351696	10,2,2
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.00411946	4
UQCRH	1	+	46316631	0.000605457	3
ZNF644	1	-	90915297	0.00133333	2
ATP5MD	10	-	103389040	0.000634317	2
NDST2	10	-	73801910	0.0111111	6
PSAP	10	-	71816297	0.00874891	10
RPS24	10	+	78040673	0.048385	3
VIM	10	+	17236292,17237560	0.00290566,0.00229899	1,3
AHNAK	11	-	62515904	0.00357569	3
AP001931.1	11	+	57742922	0.00283688	2
AP002990.1	11	-	62559602	0.00217673	32
AP003419.1	11	-	67351571	0.0212766	9
ATP5MG	11	+	118409231	0.00341984	7
COX8A	11	+	63976453	0.037594	5
CTSD	11	-	1752751	0.00372093	8
FAU	11	-	65120627,65120967	0.0479042,0.0114504	8,6
IL18	11	-	112143250	0.0057971	2
LAMTOR1	11	-	72097291	0.00181159	2
LMO2	11	-	33858575	0.000321182	2
MPEG1	11	-	59208509	0.00136054	3
PICALM	11	-	85957683	3.08923e-05	1
PPP1CA	11	-	67398182	0.0142045	5
RHOG	11	-	3826977	0.0034188	2
RNH1	11	-	494511	0.000643087	4
RPS25	11	-	119015711	0.00404494	9
SELENOH	11	+	57742922	0.00283688	2
SIGIRR	11	-	405715	0.0106952	1
SPI1	11	-	47354859	0.00320513	2
TALDO1	11	+	764929	0.0338871	4
UCP2	11	-	73974666	0.00729927	3
ARHGDIB	12	-	14942016	0.0138614	7
