ATP1A1	1	+	116404700	0.0078125	2
ATP5PB	1	+	111461193	0.0100503	2
C1orf123	1	-	53214098	0.00357143	2
C1orf162	1	+	111478446	0.0123839	4
C1orf43	1	-	154206695	0.000254485	2
C1QA	1	+	22639478	0.028169	2
CAPZB	1	-	19338775	0.00125439	5
CD48	1	-	160678745	0.0228758	6
CD52	1	+	26320450	0.108108	16
ENO1	1	-	8860999	0.000567295	4
FCER1G	1	+	161219223	0.0785714	22
FCGR3A	1	-	161541758	0.0143655	18
GGPS1	1	+	235344529	0.0011383	2
GNG5	1	-	84498324	0.00113636	4
HIST2H2AA3	1	-	149842187	0.0423729	5
HIST2H2AA4	1	+	149851616	0.0454545	5
LAPTM5	1	-	30732468	0.00515085	7
LSM10	1	-	36393429	0.00609756	2
PABPC4	1	-	39560815	0.00340136	3
PARK7	1	+	7985174	0.0166667	2
PPIH	1	+	42676616	0.000500012	4
PTP4A2	1	-	31906420	0.000539738	4
RAP1A	1	+	111716688	0.000536697	4
RHOC	1	-	112701105	0.00173385	4
RPF1	1	+	84497546	0.0263158	2
RPL5	1	+	92841919	0.037037	2
RPS27	1	+	153991677,153992155	0.166667,0.0549451	17,5
RPS8	1	+	44778748	0.031746	2
S100A11	1	-	152032505	0.0576923	9
S100A4	1	-	153543612	0.123288	18
S100A6	1	-	153534598	0.0309278	3
S100A9	1	+	153360973	0.0148148	2
SF3B4	1	-	149923316	0.00888889	2
SFPQ	1	-	35176377	0.0030581	5
SPATA6	1	-	48399582	0.000666722	7
SSR2	1	-	156009047	0.000490918	5
TBCE	1	+	235452442	1.8255e-05	2
TNFRSF1B	1	+	12207810	0.00506329	4
TPM3	1	-	154155303,154156575,154160204	0.00063571,0.00025546,9.2495e-05	11,4,1
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0092688	9
UQCRH	1	+	46316749	0.000704493	4
YBX1	1	+	42702314	0.00153965	1
ZYG11B	1	+	52805692	0.0277778	6
ATP5MD	10	-	103389040	0.000634317	2
BBIP1	10	-	110898729	0.000844951	2
GDI2	10	-	5765222	0.00825472	7
HNRNPH3	10	+	68342146	0.0217391	2
MSRB2	10	+	23120865	0.00270211	3
NDUFB8	10	-	100523936	0.00104313	5
RAB18	10	+	27538148	0.0206186	2
RPS24	10	+	78040222,78040694	0.0655937,0.0357184	1,3
SLIT1	10	-	96998037	0.000975927	3
VIM	10	+	17237510	0.0208322	22
ACP2	11	-	47239301	0.000327065	2
AP001273.2	11	+	93812329	0.0301887	8
AP002990.1	11	-	62559602	0.00192297	28
AP003419.1	11	-	67351571	0.0070922	3
