AC114490.2	1	-	34981532	0.00167434	4
EIF3I	1	+	32231369	0.017341	2
ENO1	1	-	8860999	0.000283648	2
ESPN	1	+	6461303	0.00847458	1
GUK1	1	+	228148850	0.0130719	2
HIST2H2AA4	1	+	149851547	0.0487805	2
ID3	1	-	23557917	0.00863724	9
LCK	1	+	32285852	0.0220588	3
MCL1	1	-	150574550	0.000708215	2
MINOS1	1	+	19626479	0.025641	2
NDUFS2	1	+	161214270	0.00607903	2
PBXIP1	1	-	154944075	0.0021097	1
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991674,153992153	0.282828,0.0652174	28,6
SFPQ	1	-	35176377	0.00672783	11
TMEM35B	1	-	34981534	0.00977995	4
TPM3	1	-	154155303	0.000157524	2
UBXN11	1	-	26281327	0.00205973	2
ATP5F1C	10	+	7807748	0.00260417	2
GDI2	10	-	5765222	0.00235849	2
LARP4B	10	-	806913	0.00083167	5
NDUFB8	10	-	100523936	0.000551572	3
RGS10	10	-	119499827	0.0105263	3
RPS24	10	+	78040689	0.0379713	3
AP001273.2	11	+	93812218	0.012987	2
AP002990.1	11	-	62559602	0.00480124	71
BSCL2	11	-	62690274	0.00178412	2
CTSW	11	+	65883612	0.0176991	2
ETS1	11	-	128458760	0.000529381	2
FAM168A	11	-	73400486	0.00028393	2
FAU	11	-	65120627,65120976	0.0852273,0.023301	14,12
HNRNPUL2-BSCL2	11	-	62690274	0.000117841	2
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315170	0.0701754	4
IFITM2	11	+	315170	0.0701754	4
PTPRCAP	11	-	67435509	0.00896861	2
RBM14	11	+	66618853	0.0262295	8
RPS25	11	-	119015711,119015850	0.0112688,0.0416776	2,27
ARHGDIB	12	-	14942016	0.0138614	7
ARPC3	12	-	110434824	0.00606061	2
BRAP	12	-	111642145	0.000974184	2
CCDC91	12	+	28304925	0.0165975	4
CD69	12	-	9752485	0.0150393	14
CLEC2D	12	+	9681859	0.0113251	10
GAPDH	12	+	6538312	0.0211268	3
KRAS	12	-	25204788	0.000187758	2
LDHB	12	-	21635341	0.02	4
NACA	12	-	56712427,56712726	0.0152723,0.0185617	6,12
PFDN5	12	+	53299441	0.0031153	9
RPL41	12	+	56117800	0.278986	77
SLC2A3	12	-	7919229,7931350,7931487	0.00091617,0.00142865,0.00510749	2,2,8
TUBA1A	12	-	49184795	0.0420561	9
TUBA1B	12	-	49127781	0.00161681	4
UBC	12	-	124911603	0.0181818	2
