AC093423.3	1	+	89890964,89933250	5.12767e-05,0.000151512	2,13
ADIPOR1	1	-	202940822	0.00101523	3
AL713999.1	1	-	155169408	0.000744602	3
ARID4B	1	-	235131633	0.000135158	4
BATF3	1	-	212686417	0.00536193	2
C1orf162	1	+	111478236	0.0176991	2
C1orf43	1	-	154206695	0.000254485	2
C1QA	1	+	22639518	0.018018	2
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320498	0.0204082	3
CDK11B	1	-	1635226	0.000304321	2
CTSS	1	-	150730195	0.000160277	2
EGLN1	1	-	231363750	0.00075188	2
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219248	0.108197	33
FCGR3A	1	-	161541758	0.0215483	27
GNG5	1	-	84498324	0.00283936	9
H3F3A	1	+	226067268	0.00146092	2
HIST2H2AA3	1	-	149842187	0.059322	7
HIST2H2AA4	1	+	149851623	0.0854701	10
LAPTM5	1	-	30732468	0.00441501	6
LSM10	1	-	36393429	0.00914634	3
MCL1	1	-	150574550	0.00106232	3
MNDA	1	+	158849390	0.0196078	3
MRPS14	1	-	175012957	0.000358873	2
NADK	1	-	1751231	0.00179426	3
NBPF14	1	-	148531384	6.52926e-05	3
PABPC4	1	-	39560815	0.00340136	3
PEF1	1	-	31629861	0.00266312	2
RHOC	1	-	112701105	0.00606849	14
RPS27	1	+	153991673,153992152	0.193878,0.0434783	19,4
S100A11	1	-	152032505	0.0384615	6
S100A4	1	-	153543612	0.0410959	6
S100A6	1	-	153534598	0.0412371	4
S100A9	1	+	153360907	0.0289855	2
SH3BGRL3	1	+	26281336	0.0311615	11
SHC1	1	-	154962297	0.00111607	2
SRGAP2C	1	+	121392821	0.000402739	2
SRSF11	1	+	70228685	0.0276243	5
TMEM50A	1	+	25360927	0.00900901	2
TOE1	1	+	45343795	0.0215054	2
TPM3	1	-	154155303,154156574,154160865	0.001575,0.000665248,0.000641553	28,11,7
TXNIP	1	-	145992434	0.0049435	7
UBXN11	1	-	26281327	0.00514933	5
UQCRH	1	+	46316632	0.000312598	1
YY1AP1	1	-	155659442	0.000352663	7
ACTR1A	10	-	102479228	0.00117371	2
DEPP1	10	-	44976128	0.00158353	2
FRAT2	10	-	97332496	0.0014556	2
GDI2	10	-	5765222	0.00471698	4
LIPA	10	-	89213568	0.00158856	1
NCOA4	10	-	46005087	0.000492732	2
PSAP	10	-	71816297	0.015748	18
RPS24	10	+	78040694	0.00172627	3
SEC23IP	10	+	119933829	0.0322581	2
VDAC2	10	+	75231177	0.0106383	2
AP002990.1	11	-	62559602	0.00212015	31
AP003419.1	11	-	67351571	0.00945626	4
BANF1	11	+	66003951	0.0167598	3
CARD16	11	-	105041522	0.001997	4
CASP1	11	-	105025442,105026420	0.00368098,0.000497018	3,1
CDKN1C	11	-	2883212	0.00252845	2
CFL1	11	-	65854674	0.0181543	12
COX8A	11	+	63976486	0.0120482	2
EEF1G	11	-	62559600	0.0384615	3
EHBP1L1	11	+	65592467	0.0181818	3
ESRRA	11	+	64316600	0.00305344	2
FAU	11	-	65120627,65120949	0.06,0.00922509	9,5
FERMT3	11	+	64223756	0.00757576	2
HSPA8	11	-	123057488	0.0204082	5
IFITM3	11	-	319668	0.0131579	7
LMO2	11	-	33858575	0.000802955	5
MAP3K11	11	-	65597754	0.000444099	4
MPEG1	11	-	59208509	0.000907029	2
MRPL16	11	-	59806134	0.00943396	2
MS4A7	11	+	60394393	0.0037594	2
MTA2	11	-	62593213	0.00605144	4
PIK3C2A	11	-	17141321	0.000272442	2
PPP1CA	11	-	67398182	0.00568182	2
RAB1B	11	+	66277492	0.0015949	2
RHOG	11	-	3826977	0.00683761	4
RNH1	11	-	494511	0.000455149	2
RPS25	11	-	119015711,119017319	0.00249448,0.0185529	5,11
SDHD	11	+	112113162	0.000357398	2
SMCO4	11	-	93478471	0.00557621	3
SPI1	11	-	47354859	0.0160256	10
TALDO1	11	+	764933	0.00766054	3
TRMT112	11	-	64316459	0.00237812	1
UNC93B1	11	-	67991103	0.00904977	4
AC048338.1	12	-	122207778	0.000283126	3
AC078927.1	12	-	66123916	0.000352858	5
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0515152	17
ATP5F1B	12	-	56638178	0.0138889	2
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719694	0.0253612	11
BLOC1S1-RDH5	12	+	55719694	0.0188356	11
CLEC2D	12	+	9681223	0.00772201	2
CNOT2	12	+	70294355,70294264	0.00900901,0.0152672	2,2
DDIT3	12	-	57516587	0.00904977	2
DIABLO	12	-	122207661	0.000159847	3
DYNLL1	12	+	120498381	0.016	4
EID3	12	+	104305088	0.00657895	1
GABARAPL1	12	+	10219097,10219248	0.000264141,0.00180752	1,10
GAPDH	12	+	6538272	0.0686275	7
H2AFJ	12	+	14775009	0.0134228	2
HCAR3	12	-	122714755	0.0256619	20
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161569	0.0434756	7
NACA	12	-	56712427,56712785	0.047619,0.0421157	6,25
PFDN5	12	+	53299369	0.0377341	10
PTPN6	12	+	6960944,6961315	0.0436457,0.0312807	3,8
RPL41	12	+	56117800	0.184783	51
RPLP0	12	-	120196685	0.00148644	4
SELPLG	12	-	108622276	0.00631313	5
TMBIM4	12	-	66135845	0.000200068	6
TUBA1A	12	-	49184795	0.0233337	4
TUBA1B	12	-	49127781	0.00241847	5
UBC	12	-	124911603	0.0181818	2
ANKRD10	13	-	110892691,110894122	0.00309006,0.000220861	24,1
ITM2B	13	+	48253844	0.00027401	4
LCP1	13	-	46125919	0.00299222	5
RPL21	13	+	27256310,27256690	0.0954923,0.00526815	12,2
AL928654.3	14	+	105488757	0.0707078	7
ATP5MPL	14	-	103912287	0.00119332	2
CALM1	14	+	90405249	0.00250941	1
CHMP4A	14	-	24209582	0.00156331	3
CRIP1	14	+	105488757	0.0707078	7
DEGS2	14	-	100143956	0.00104603	2
EIF5	14	+	103345023	0.00110957	4
HSP90AA1	14	-	102080737	0.00513347	5
LGALS3	14	+	55145359	0.0227273	2
OXA1L	14	+	22771644	0.0232558	2
PSME1	14	+	24138856	0.00529101	2
SIPA1L1	14	+	71739314	0.0130719	2
SLIRP	14	+	77715837	0.000380445	2
TRMT5	14	-	60971450	0.00082012	3
ZBTB1	14	+	64523763	0.017094	2
ZFP36L1	14	-	68787659	0.00141443	4
AC013489.1	15	-	88459500	3.74181e-05	2
AC245033.1	15	-	82536787,82538281	0.00360772,0.000275454	8,4
B2M	15	+	44718062	0.0299213	76
BCL2A1	15	-	79960888	0.0259259	7
CSK	15	+	74802902	0.0102828	3
HYPK	15	+	43801998	0.00478469	2
LYSMD2	15	-	51723010	0.0033557	2
MRPL46	15	-	88459475	0.000372578	2
PKM	15	-	72199028	0.000263296	2
PPIB	15	-	64155811	0.00947867	2
RPS17	15	-	82536749,82538243	0.00077299,0.018078	1,10
SERF2	15	+	43794081	0.0194805	6
ALDOA	16	+	30070350	0.0598291	14
ATP6V0C	16	+	2520008	0.0874525	23
ATP6V0D1	16	-	67438018	0.000142315	3
BOLA2B	16	-	30192933	0.00952381	4
CKLF	16	+	66565878	0.000718649	2
CKLF-CMTM1	16	+	66565878	0.000718649	2
