CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320442	0.0214286	3
CDK11A	1	-	1702729	0.0008726	2
GSTM2	1	+	109674989	0.0130719	2
RPS27	1	+	153992104	0.0249469	6
S100A10	1	-	151982914	0.00806452	2
SARS	1	+	109237982	0.0212766	2
SLC35E2A	1	-	1727385	0.000591833	3
SLC35E2B	1	-	1661477	0.00139405	6
MCU	10	+	72881047,72855193,72871542	7.25387e-05,1.02451e-05,2.92209e-05	11,1,4
SPOCK2	10	-	72059034	0.000536913	1
FAU	11	-	65120627	0.00231481	2
AC023055.1	12	-	55757274	0.0253165	6
CLEC2D	12	+	9681776	0.00246305	2
GAPDH	12	+	6538249	0.0253165	2
BIVM-ERCC5	13	+	102875990	0.0574713	5
ERCC5	13	+	102875990	0.0574713	5
AL136295.1	14	-	24189156	0.0116279	3
AL928654.3	14	+	105488771	0.0153593	3
CRIP1	14	+	105488771	0.0153593	3
IRF9	14	+	24166319	0.0243902	3
RPS29	14	-	49583571	0.0210526	2
TM9SF1	14	-	24189142	0.00224048	3
CSK	15	+	74802670	0.0127389	2
COTL1	16	-	84565593	0.00159872	2
RPL13	16	+	89563042	0.00437253	5
RPS2	16	-	1962051	0.00767273	12
SDR42E2	16	+	22190443	0.04	2
UBN1	16	+	4859098	0.0210526	2
AC004687.2	17	-	58345205	0.000477251	3
AC087289.3	17	-	75898644	0.00045683	5
EIF4A1	17	+	7578626,7578786	0.0659543,0.0125546	9,3
MRPL38	17	-	75898642	0.00966184	2
PFN1	17	-	4945651	0.0120335	2
SKAP1	17	-	48133439	1.73109e-05	1
SUPT4H1	17	-	58345177	0.00374532	4
COX6B1	19	+	35658670	0.0333333	2
DDX39A	19	-	14408818	0.00112803	2
EEF2	19	-	3976055	0.0060241	3
FOSB	19	+	45472081	0.00382775	4
HSH2D	19	+	16151610	0.0253165	2
JUNB	19	+	12793095	0.0142857	4
MBOAT7	19	-	54173411	0.000487234	5
PEAK3	19	-	2274621	0.00189036	2
PPP6R1	19	-	55229779	0.0040107	3
RPL28	19	+	55388271	0.0595758	3
RPS11	19	+	49499610	0.0377333	5
RPS16	19	-	39433206	0.0130293	4
RPS9	19	+	54207610,54207521	0.0292626,0.00313808	5,3
RUVBL2	19	+	49001605	0.0147059	3
NFE2L2	2	-	177227594	0.0192926	6
PRPF40A	2	-	152672547,152676423	6.43812e-05,9.69928e-05	1,1
RPL37A	2	+	216500030,216501396	0.0215397,0.0342242	1,4
UBE2F-SCLY	2	+	238030891	0.0365854	12
ZAP70	2	+	97739701	0.0147783	3
LIME1	20	+	63739103	0.0344828	7
TRNT1	3	+	3136997	0.0220588	6
AC008695.1	5	-	131425890	0.00218182	3
HNRNPH1	5	-	179614177	0.000385951	3
RACK1	5	-	181236908	0.000738334	5
SQSTM1	5	+	179821717	0.0533333	8
HLA-C	6	-	31268748	0.000790514	2
LTB	6	-	31580554	0.00298805	3
ACTB	7	-	5527146	0.00105374	1
MYO1G	7	-	44962661	0.000143246	2
EEF1D	8	-	143579696	0.00428725	4
RPL30	8	-	98041720	0.000621504	1
RPL8	8	-	144789765	0.00191693	3
EHMT1	9	+	137870015	8.53206e-05	2
NPDC1	9	-	137039469	0.00337838	2
RPL35	9	-	124857879	0.00509338	3
DDX3X	X	+	41364472	0.00225789	26
