FAM69A	1	-	92832736	0.0106007	3
KPNA6	1	+	32176565	0.000125581	2
LMNA	1	+	156140088,156132264,156135225	0.00305499,0.0152332,0.00440201	3,17,18
MCL1	1	-	150574550	0.00244422	6
WAC	10	+	28585057	0.00088347	16
CD6	11	+	61015841	0.0337079	3
IFITM1	11	+	315246	0.0300752	4
IFITM2	11	+	315246	0.0300752	4
TUBA1A	12	-	49184795	0.0186916	3
LRR1	14	+	49601777	0.0133929	3
AC087632.1	15	-	64214098	2.50614e-05	4
ACTG1	17	-	81509970	0.00417246	3
EIF4A3	17	-	80135213	0.00724638	2
HIGD1B	17	+	44849454	0.0446097	12
SRSF2	17	-	76734114	0.000977517	2
EMC10	19	+	50476837	0.0426829	7
JUND	19	-	18279759	0.00440529	3
RPL28	19	+	55388284	0.00738007	2
BCL2L11	2	+	111128841	0.0444444	4
SSB	2	+	169806293	0.0211864	5
YPEL5	2	+	30159188	0.0173913	6
ITGB2	21	-	44885952	9.47104e-05	2
ZNF70	22	-	23738677	0.000585709	3
MCF2L2	3	-	183178042	0.00130719	1
DUSP1	5	-	172768089	0.00297619	2
AL049844.1	6	+	143823891	0.019802	4
BTN3A2	6	+	26373547	0.0333333	4
HLA-B	6	-	31353871	0.00490998	3
PHACTR2	6	+	143823891	0.019802	4
TMEM14B	6	+	10759161	0.0333333	2
EZH2	7	-	148807382	0.000157741	4
