APH1A	1	-	150265398	0.00178094	2
C1orf162	1	+	111478279	0.0192308	3
CD52	1	+	26320444	0.028169	4
CDA	1	+	20618741	0.0231214	4
CDK11A	1	-	1702729	0.0069488	15
CTSS	1	-	150730195	0.00022636	4
FCER1G	1	+	161219159	0.0138889	3
GJA9-MYCBP	1	-	38864502	0.000570989	5
GNB1	1	-	1785284	0.000977517	2
GUK1	1	+	228148827	0.0307692	4
IFI16	1	+	159054967	0.030303	2
LAPTM5	1	-	30732468	0.00220751	3
MCL1	1	-	150574550	0.0046034	13
MGST3	1	+	165655601	0.0206186	2
MINOS1	1	+	19626526	0.032	4
MNDA	1	+	158849434	0.0304569	6
NCF2	1	-	183555562	0.0036036	2
PARK7	1	+	7985243	0.015873	3
PGD	1	+	10419929	0.0111111	2
RPA2	1	-	27891523	0.00312989	2
RPS27	1	+	153991677,153992111	0.0708848,0.0427631	7,5
S100A10	1	-	151982914	0.0201613	5
S100A11	1	-	152032505	0.025641	4
S100A12	1	-	153373705	0.0413223	5
S100A4	1	-	153543612	0.0410959	6
S100A6	1	-	153534598	0.0206186	2
S100A8	1	-	153390031	0.084507	6
S100A9	1	+	153360904,153361017	0.667668,0.150469	44,26
SELL	1	-	169690666	0.00179051	2
SH3BGRL3	1	+	26281285	0.0231788	7
SLC35E2A	1	-	1727385	0.000394555	2
SSU72	1	-	1541672	0.00763359	3
TNFAIP8L2	1	+	151159374	0.0245902	3
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.00411946	4
EXOSC1	10	-	97436141	0.00597015	2
GDI2	10	-	5765222	0.00235849	2
NCOA4	10	-	46005087	0.000492732	2
OGA	10	-	101797045	0.00226244	2
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040686	0.000736377	2
SRGN	10	+	69104623	0.00994036	5
VDAC2	10	+	75231196	0.0144928	3
VIM	10	+	17237460,17237592	0.010723,0.0505664	6,37
VSIR	10	-	71747558	0.000541419	2
AHNAK	11	-	62515904	0.00357569	3
AP002990.1	11	-	62559602	0.00176609	26
AP003419.1	11	-	67351571	0.0070922	3
ATP5MG	11	+	118409093	0.0296212	8
BSCL2	11	-	62690274	0.0044603	5
CARD16	11	-	105041522	0.00149775	3
CASP1	11	-	105026420	0.000497018	1
CCDC88B	11	+	64357191	0.0206186	2
COX8A	11	+	63976410	0.0222222	2
CTSD	11	-	1752751	0.00232558	5
EEF1G	11	-	62559600	0.025641	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120919	0.0420168,0.00699301	5,4
HNRNPUL2-BSCL2	11	-	62690274	0.000294603	5
HSPA8	11	-	123057488	0.0122449	3
LAMTOR1	11	-	72097291	0.00181159	2
MS4A6A	11	-	60172013	0.00126677	7
NDUFS8	11	+	68036469	0.00284091	2
PPP1CA	11	-	67398182	0.0113636	4
RHOG	11	-	3826977	0.00854701	5
RNH1	11	-	494511	0.000482315	3
SF1	11	-	64764605	0.00073692	4
SIGIRR	11	-	405715	0.0106952	1
SMCO4	11	-	93478471	0.00371747	2
SPI1	11	-	47354859	0.00961538	6
TALDO1	11	+	764920	0.0260758	3
TCIRG1	11	+	68050890	0.0485437	5
UQCC3	11	+	62672279	0.0121212	2
AC078927.1	12	-	66123916	0.000211715	3
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0242424	8
BIN2	12	-	51281037	0.00433839	2
BLOC1S1	12	+	55719531	0.00712589	3
BLOC1S1-RDH5	12	+	55719531	0.00712589	3
CKAP4	12	-	106237876	0.00261552	3
CLEC4A	12	+	8138421	0.0149254	2
GAPDH	12	+	6538353	0.0491803	9
GLIPR1	12	+	75499201	0.00102929	3
LTA4H	12	-	96000827	0.000168983	4
