IVNS1ABP	1	-	185296387	0.00182149	3
LCK	1	+	32285876	0.00625	1
RPS27	1	+	153992074	0.00601202	3
SFPQ	1	-	35182931	0.00131234	2
WDR26	1	-	224385142	0.000101253	3
RPS3	11	+	75404776	0.000943871	2
BTG1	12	-	92140277	0.00105208	4
GOLGA3	12	-	132783867	0.0126582	2
MYL6	12	+	56161460	0.00177148	2
NELL2	12	-	44508274	0.0030349	2
AL928654.3	14	+	105488573	0.0322581	2
CALM1	14	+	90404715	0.0114068	3
CRIP1	14	+	105488573	0.0322581	2
DEGS2	14	-	100143956	0.0013947	4
GOLGA8B	15	-	34525206	0.000824742	2
ST20-MTHFS	15	-	79845149	0.0333333	2
NFATC3	16	+	68192207	0.000106485	7
NLRC5	16	+	57031216	0.00277104	8
NPIPB3	16	-	21402236	0.0425532	2
RPL13	16	+	89562389,89563106	0.123472,0.0531045	15,16
COG1	17	+	73206924	0.0194175	1
DDX5	17	-	64499615	0.00107991	5
EIF4A1	17	+	7578727	0.00829876	2
LUC7L3	17	+	50741258,50741197	0.000646204,0.000521241	2,2
METTL23	17	+	76733667,76733858	0.015625,0.0174419	4,3
RPL26	17	-	8377515	0.000632111	2
SLFN12L	17	-	35473688	0.00162075	2
ABHD3	18	-	21650896	0.00288184	1
ADAT3	19	+	1913240	0.0224719	2
JUNB	19	+	12792966	0.0198675	3
JUND	19	-	18279759	0.00440529	3
RPS16	19	-	39433206	0.00651466	2
RPS19	19	+	41869192	0.00113744	6
RPS9	19	+	54207467,54207467	0.0021254,0.00221729	1,2
ZNF177	19	+	9381953	0.0284091	5
PTMA	2	+	231712636	0.00233691	2
RGPD5	2	+	109813675	0.0285714	6
RPL37A	2	+	216501397	0.00138985	2
TMSB10	2	+	84906642	0.0319635	7
MRPS26	20	+	3047950	0.0246914	2
H1FX	3	-	129314770	0.00612245	3
RPL29	3	-	51993521	0.00138985	2
TMA7	3	+	48444002	0.0166667	2
TRA2B	3	-	185915905	0.000315139	5
RPS3A	4	+	151104485,151102999	0.00813008,0.0169492	2,2
H2AFY	5	-	135333899	0.00011169	3
HNRNPH1	5	-	179614177	0.000514602	4
RACK1	5	-	181236908	0.000295334	2
HLA-B	6	-	31353871	0.0114566	7
HLA-C	6	-	31268748	0.00158103	4
LTB	6	-	31580554	0.00298805	3
PNRC1	6	+	89084301	0.0190476	2
GSTK1	7	+	143268939	0.0172414	2
INTS8	8	+	94841588	0.000974026	3
KAT6A	8	-	42045877	0.001222	3
ST3GAL1	8	-	133454847	0.000610252	3
MAPKAP1	9	-	125521467	0.00704225	2
ARHGAP4	X	-	153907366	0.000150218	2
RPL36A	X	+	101395728	0.000548998	1
