AC114490.2	1	-	34981532	0.0029301	7
RPS27	1	+	153992073	0.00401606	1
TMEM35B	1	-	34981534	0.0171149	7
FAU	11	-	65120627	0.00231481	2
RBM14	11	+	66618699	0.013245	2
BICDL1	12	+	120000588	0.002574	2
PRPF39	14	+	45096676	0.0696721	17
RTRAF	14	+	52004501	0.0217391	2
IDH2	15	-	90086487	0.00526314	11
ZFYVE19	15	+	40809477,40809421	0.00574713,0.0077821	2,2
ATP2A1	16	+	28896428	0.00390371	6
EIF4A1	17	+	7578575	0.0224719	2
GMFG	19	-	39328352	0.00234758	2
ZFP36	19	+	39408179	0.00278552	3
PTMA	2	+	231713540	0.00281558	6
TLK1	2	-	170990822	8.80427e-05	7
RPL15	3	+	23921901	0.0221239	5
SENP7	3	-	101347325	0.0212014	6
SQSTM1	5	+	179821690	0.0569106	7
HLA-A	6	+	29945685	0.0217391	5
ACTB	7	-	5527146	0.00210748	3
PPIA	7	+	44800612	0.0212766	4
AQP3	9	-	33441153	0.00224972	2
PHYHD1	9	+	128936643	0.00101238	9
SEMA4D	9	-	89376385	0.000862813	2
TMSB4X	X	+	12977025	0.0233645	5
