CD52	1	+	26320504	0.0247525	5
FCRL1	1	-	157794535	0.00123077	2
FCRL3	1	-	157676480	0.000897263	2
GTF2B	1	-	88852931	0.00711744	2
JUN	1	-	58780787	0.003108	4
LAPTM5	1	-	30732468	0.00220751	3
LSM10	1	-	36393429	0.00609756	2
RPS27	1	+	153991676,153992120	0.0956922,0.0352263	9,5
TAGLN2	1	-	159918106	0.004329	3
PDCD4	10	+	110898501	0.00968523	4
AP002990.1	11	-	62559602	0.000592027	9
AP003419.1	11	-	67351571	0.0330872	13
CD44	11	+	35187687	0.00472813	4
CORO1B	11	-	67435509	0.000573175	3
FAU	11	-	65120627,65120894	0.0531915,0.0117253	5,7
PTPRCAP	11	-	67435509	0.0134529	3
RPS25	11	-	119015711	0.00404494	9
TMEM41B	11	-	9280653	0.000336984	2
BLOC1S1	12	+	55719605	0.00808081	4
BLOC1S1-RDH5	12	+	55719605	0.00808081	4
NACA	12	-	56712427,56712736	0.00584227,0.00296403	6,2
RPL41	12	+	56117809	0.115789	33
RPLP0	12	-	120196685	0.00111483	3
UBC	12	-	124911603	0.0181818	2
RPL21	13	+	27256332,27256564	0.00834503,0.0302624	5,9
AKT1	14	-	104769348	0.000813339	2
IGHM	14	-	105851704	0.0421456	11
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538299,82538870	0.00368151,0.000164381,7.09443e-05	7,2,1
CIAO2A	15	-	64072558	0.00011318	2
RPS17	15	-	82536749,82538261	0.00147769,0.0166095	2,9
AC026464.6	16	-	69328643	0.0178571	7
PDF	16	-	69328620	0.0174564	6
PSMB10	16	-	67934501	0.015873	2
RBBP6	16	+	24559805	0.0263158	3
RPL13	16	+	89562391,89563294	0.199656,0.00777107	25,7
RPS2	16	-	1962051	0.00996769	16
SOCS1	16	-	11254404	0.00456621	2
AC120057.2	17	-	7240426	0.00240192	3
DDX5	17	-	64499615	0.00107991	5
EIF1	17	+	41691372	0.00915751	5
NEURL4	17	-	7315627	0.00204848	6
RPL26	17	-	8377515,8377618,8379784	0.0291022,0.111702,0.00320608	4,38,2
UBB	17	+	16382681	0.0238095	2
ANKRD12	18	+	9208712	0.000244349	2
MYL12A	18	+	3256112	0.0103093	2
TGIF1	18	+	3458071	0.0152672	2
BORCS8-MEF2B	19	-	19145566	0.000255965	9
CD79A	19	+	41881096	0.0172414	2
CLASRP	19	+	45069162	0.0238095	2
FCER2	19	-	7688757	0.0045977	2
GADD45B	19	+	2478259	0.00415523	4
GPX4	19	+	1106685	0.0143885	2
HNRNPL	19	-	38836387	0.000954927	5
IFI30	19	+	18178048	0.0291971	4
JUNB	19	+	12793069	0.023622	6
JUND	19	-	18279759	0.0161527	11
LSM7	19	-	2321516	0.000441404	2
MEF2B	19	-	19145567	0.0128388	9
PEAK3	19	-	2274621	0.0141777	15
RPL18	19	-	48615327,48615789	0.00231691,0.00894541	3,8
RPL18A	19	+	17863310	0.0212766	1
RPL28	19	+	55388047,55388362	0.0719133,0.024596	2,3
RPS11	19	+	49499613	0.0035545	6
RPS15	19	+	1440438	0.0168067	2
RPS16	19	-	39433206	0.00651466	2
RPS19	19	+	41869192	0.00341232	18
RPS28	19	+	8322384	0.0344943	4
RPS9	19	+	54207622,54207522	0.0526153,0.00940439	11,9
CFAP36	2	+	55538874	0.0322581	3
RPL31	2	+	101006400	0.0028436	6
RPL37A	2	+	216500032,216501414	0.0530229,0.0405926	3,4
TMSB10	2	+	84906577	0.038961	6
UGP2	2	+	63891359	0.0151515	2
IDH3B	20	-	2658394	0.00153374	2
RPS21	20	+	62388363,62388473	0.0425995,0.0106886	8,1
ATP5PO	21	-	33903452	0.000503271	2
DDTL	22	+	23971512	0.0188679	2
IGLC2	22	+	22901426	0.0534351	7
IGLL5	22	+	22895517	0.0425532	4
RPS19BP1	22	-	39529092	0.00139567	1
GPX1	3	-	49357170	0.00369914	3
RBM5	3	+	50093249	0.00961538	2
RPL29	3	-	51993521	0.00903405	13
RPL35A	3	+	197955784	0.00134258	6
SEC62	3	+	169976952	0.00224888	2
BLOC1S4	4	+	6717011	0.0135135	2
RPS3A	4	+	151104285,151104585,151104108	0.0314523,0.0774889,0.00488998	1,12,6
BTF3	5	+	73505336	0.0204082	1
CD74	5	-	150401636	0.0119275	19
LIX1	5	-	97091866	0.00242971	7
NPM1	5	+	171410815	0.024	6
OXCT1	5	-	41730064	0.00120192	2
RACK1	5	-	181236908,181237567	0.00140825,0.000714551	9,4
SMN1	5	+	70946787	0.0333333	1
SQSTM1	5	+	179821777	0.0238095	5
CLIC1	6	-	31730580	0.00766284	2
HLA-B	6	-	31353871	0.00327332	2
HLA-C	6	-	31268748	0.000790514	2
HLA-DMB	6	-	32934628	0.00877193	3
HLA-DPB1	6	+	33086803	0.0123735	6
HLA-DRB1	6	-	32578768	0.0310559	10
LTB	6	-	31580554	0.00199203	2
PTP4A1	6	+	63580332	0.0189873	3
AC004922.1	7	+	99394617	0.0116505	6
AC105052.3	7	-	102637048	0.000103157	3
ACTB	7	-	5527146	0.00316122	6
ARPC1B	7	+	99394617	0.0363441	6
RCC1L	7	-	75042182	0.00235571	1
TRA2A	7	-	23504779	0.00385109	3
TRIM73	7	+	75405373	0.0242424	4
UPK3BL1	7	-	102637024	0.006	3
RPL30	8	-	98041720,98042637	0.056456,0.00322838	17,7
RPL8	8	-	144789765	0.0126624	14
RPS20	8	-	56072946	0.00541272	4
ANP32B	9	+	98015544	0.0176991	2
RPL35	9	-	124857879	0.00848896	5
IL2RG	X	-	71107403	0.00218103	2
PIGA	X	-	15319450	0.00022419	2
RPL36A	X	+	101395747	0.0216809	8
RPL39	X	-	119786505	0.0842697	15
TMSB4X	X	+	12977118	0.0553746	17
USP11	X	+	47248096	0.0361446	6
WAS	X	+	48691224	0.0322581	2
