CERS2	1	-	150965172	0.00205128	2
EVA1B	1	-	36322030	0.00757576	2
H3F3A	1	+	226071761	0.0141844	4
JAK1	1	-	64833228	0.00150038	2
RGS18	1	+	192185010	0.00438596	2
SELP	1	-	169588848	0.00384911	5
TAGLN2	1	-	159918106	0.002886	2
TAL1	1	-	47216289	0.00116618	4
ABLIM1	10	-	114431112	0.000388576	2
PIP4K2A	10	-	22534848	0.00170068	4
CCDC85B	11	+	65891490	0.0204082	1
EIF4G2	11	-	10797049	0.00522193	4
FERMT3	11	+	64223664	0.0116279	2
SLC2A3	12	-	7919229	0.00137426	3
ELF1	13	-	40932027	0.000145956	2
STON2	14	-	81260655	0.0123765	13
HERC1	15	-	63608617	0.00431965	2
ALDOA	16	+	30070222	0.0283019	3
ITGA2B	17	-	44372179	0.0108696	2
SEC14L1	17	+	77191311	0.0235294	2
AC008763.3	19	+	7682728	0.0585774	14
BBC3	19	-	47220823	0.00204499	2
FTL	19	+	48966803	0.0294118	2
JAK3	19	-	17824785	0.00102197	2
JUND	19	-	18279759	0.00440529	3
PTGIR	19	-	46620467	0.00369458	3
CAVIN2	2	-	191834301	0.00370142	6
EMILIN1	2	+	27086120	0.0190476	2
FKBP1A	20	-	1368977	0.000638162	2
GAS2L1	22	+	29312608	0.018018	2
GP1BB	22	+	19724728	0.132576	35
MYH9	22	-	36281276	0.00287563	4
GPX1	3	-	49357170	0.0123305	10
MFAP3L	4	-	169986596	0.000418323	2
PPBP	4	-	73987037	0.0128205	3
WDR1	4	-	10074338	0.00192493	2
NT5C3A	7	-	33014112	9.14746e-05	1
ASAP1	8	-	130052103	1.29196e-05	4
FRMD3	9	-	83244621	0.000606796	1
FLNA	X	-	154348523	0.000185586	3
TSC22D3	X	-	107713220	0.00154083	2
