AC118549.1	1	-	77564499	0.00175439	2
AL358472.7	1	-	153959150	0.000444247	2
APH1A	1	-	150265398	0.00178094	2
ATP5PB	1	+	111461252	0.0232558	6
C1orf162	1	+	111478350	0.030837	7
C1orf43	1	-	154206695	0.000508971	4
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320501	0.080402	16
CD55	1	+	207340764	0.0416667	5
CDA	1	+	20618735	0.0299401	5
CDK11A	1	-	1702729	0.00522302	11
CITED4	1	-	40861050	0.00383142	2
CTSS	1	-	150730195	0.000676681	11
DDOST	1	-	20651766	0.0147059	9
DHX9	1	+	182887571	0.0145985	2
EFHD2	1	+	15429012	0.00684932	2
ENO1	1	-	8860999	0.000992767	6
FCER1G	1	+	161219221	0.0647482	18
FCGR1A	1	+	149791591	0.027027	2
GLMN	1	-	92246401	0.000404835	7
GNG5	1	-	84498324	0.00170008	5
H3F3A	1	+	226071944	0.0430108	20
JUN	1	-	58780787	0.001554	2
KHDRBS1	1	+	32042946	0.00621118	1
MAGOH	1	-	53226891	0.0130719	2
MCL1	1	-	150574550	0.00601983	17
MINOS1	1	+	19626583	0.043956	8
MNDA	1	+	158849448	0.0521327	11
NCF2	1	-	183555562	0.0216216	12
NDUFS2	1	+	161214242	0.00664452	2
NFYC	1	+	40771602	0.00258398	2
NIT1	1	+	161120911	0.0136986	2
PABPC4	1	-	39560815	0.00226757	2
PARK7	1	+	7985145	0.032967	3
PIGC	1	-	172441456	0.00735294	2
PLEKHO1	1	+	150159617	0.0212766	2
PPP1R15B	1	-	204403386	0.000739372	2
PRDX1	1	-	45511035	0.0170648	5
PTGS2	1	-	186671790	0.00078064	2
PTP4A2	1	-	31906420	0.000539738	4
PYGO2	1	-	154957025	0.0011409	1
RAP1A	1	+	111716691	0.00026824	2
RBBP4	1	+	32686209	0.000191925	3
RNPEP	1	+	202005862	0.0205479	3
RPS27	1	+	153991677,153992120	0.118172,0.0537135	12,7
S100A10	1	-	151982914	0.0645161	16
S100A11	1	-	152032505	0.0448718	7
S100A12	1	-	153373705	0.0826446	10
S100A4	1	-	153543612	0.109589	16
S100A6	1	-	153534598	0.123711	12
S100A8	1	-	153390031	0.211268	15
S100A9	1	+	153361027	1.61905	306
SELL	1	-	169690666	0.00716204	8
SF3B4	1	-	149923316	0.00888889	2
SFPQ	1	-	35176377	0.00122324	1
SH3BGRL3	1	+	26281268	0.0631579	18
SLC39A1	1	-	153959098	0.00134048	2
SRM	1	-	11054588	0.0104895	3
SVBP	1	-	42807051	0.00552486	2
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.010101	7
TXNIP	1	-	145992434	0.00423729	6
UBE2J2	1	-	1253908	0.000143379	1
UBXN11	1	-	26281327	0.0092688	9
UFC1	1	+	161158660	0.0119048	2
ALOX5	10	+	45445842	0.0193548	3
ATP5F1C	10	+	7807707	0.00550206	4
ATP5MD	10	-	103389040	0.000634317	2
C10orf95	10	-	102449836	0.00325203	2
COMMD3	10	+	22318340	0.00642398	3
EIF4EBP2	10	+	70423923	0.00137868	3
FRAT2	10	-	97332496	0.0014556	2
ITGB1	10	-	32900318	0.000243487	2
NCOA4	10	-	46005087	0.000739098	3
NDUFB8	10	-	100523739	0.0206186	2
PIK3AP1	10	-	96593311	0.000883002	2
PPA1	10	-	70202829	0.00923077	3
PSAP	10	-	71816297	0.0262467	30
RPS24	10	+	78040714	0.00144552	3
SLC25A28	10	-	99610521	0.00611621	2
SRGN	10	+	69104683	0.044405	25
VIM	10	+	17237575	0.0941045	44
AHNAK	11	-	62515904	0.00834327	7
ANAPC15	11	-	72109582	0.00671141	2
AP001273.2	11	+	93812153	0.0224719	2
AP001931.1	11	+	57742965	0.00668449	5
AP002990.1	11	-	62559602	0.00337964	50
AP003419.1	11	-	67351571	0.0165485	7
APLP2	11	+	130122128	0.00213068	3
ARAP1	11	-	72685068	0.00336134	2
ATP5MG	11	+	118409182	0.00349418	7
CARD16	11	-	105041522	0.000998502	2
CCDC73	11	-	32602245	0.00530973	3
COX8A	11	+	63976440	0.05	6
CTSD	11	-	1752751	0.0055814	12
CYB561A3	11	-	61348744	0.000461787	2
EHBP1L1	11	+	65592458	0.0192308	3
FAU	11	-	65120627,65120949	0.0805369,0.0110701	12,6
FERMT3	11	+	64223765	0.018315	5
FTH1	11	-	61964284,61964589	0.0133641,0.183605	16,174
FXYD6	11	-	117836975	0.000600781	2
HSPA8	11	-	123057488	0.00816327	2
IFITM3	11	-	319668	0.0075188	4
LAMTOR1	11	-	72097291	0.00815217	9
LMO2	11	-	33858575	0.000321182	2
MPEG1	11	-	59208509	0.00181406	4
MS4A6A	11	-	60172013	0.00154746	9
PPP1CA	11	-	67398182	0.0113636	4
PSMA1	11	-	14504875	0.00632911	2
PTPMT1	11	+	47572360	0.00237057	5
RHOG	11	-	3826977	0.0102564	6
RNH1	11	-	494511	0.000803859	5
RPS25	11	-	119015711	0.0186567	14
SELENOH	11	+	57742965	0.00668449	5
