C1orf162	1	+	111478391	0.0298507	8
C1orf52	1	-	85251967	0.00302572	2
CD48	1	-	160678745	0.0359477	11
CD52	1	+	26320486	0.0543478	10
CDA	1	+	20618781	0.0140845	3
CSF3R	1	-	36466042	0.00636943	2
DDOST	1	-	20651766	0.00326797	2
DENND4B	1	-	153929500	0.00251256	2
EGLN1	1	-	231363750	0.00075188	2
ENO1	1	-	8860999	0.00127641	9
FCER1G	1	+	161219168	0.0755556	17
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.00170014	5
GUK1	1	+	228148872	0.0114286	2
HDGF	1	-	156742106	0.00298063	4
JTB	1	-	153974268	0.00487805	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.013245	18
LGALS8	1	+	236552979	0.00041511	2
LYST	1	-	235661040	2.7351e-05	3
MINOS1	1	+	19626586	0.0324324	6
MNDA	1	+	158849495	0.0271318	7
NBPF14	1	-	148531384	0.000108821	5
NCF2	1	-	183555562	0.00720721	4
NVL	1	-	224227333	0.000417275	2
PARK7	1	+	7985154	0.03	3
PPIE	1	+	39763777	0.00173461	2
PTGS2	1	-	186671790	0.00078064	2
PTP4A2	1	-	31906420	0.000269869	2
RPS27	1	+	153992140	0.0247788	14
S100A10	1	-	151982914	0.0282258	7
S100A11	1	-	152032505	0.0576923	9
S100A4	1	-	153543612	0.0821918	12
S100A6	1	-	153534598	0.0618557	6
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153360915,153361027	0.521026,0.0893175	40,16
SDHB	1	-	17018721	0.0125786	2
SFPQ	1	-	35182931	0.0019685	3
SH3BGRL3	1	+	26281218	0.0510638	12
SLC35E2B	1	-	1661477	0.00162639	7
SNRPE	1	+	203870015	0.0240964	2
SSR2	1	-	156009047	0.000196367	2
SYF2	1	-	25222678	0.00340716	2
TAGLN2	1	-	159918106	0.00721501	5
TMOD4	1	-	151169985	0.00066123	3
TXNIP	1	-	145992434	0.00917731	12
UBXN11	1	-	26281327	0.0030896	3
UQCRH	1	+	46316631	0.000442457	2
WASF2	1	-	27404225	0.00100934	4
AL360181.3	10	+	133420402	0.021097	5
ALOX5	10	+	45445884	0.0152284	3
COMMD3	10	+	22320121	0.0162602	2
HNRNPH3	10	+	68342133	0.0253165	2
MTG1	10	+	133420402	0.021097	5
NCOA4	10	-	46005087	0.00221729	9
PFKFB3	10	+	6232867,6228292	0.00117187,0.00257649	9,8
PSAP	10	-	71816297	0.0113736	13
RPS24	10	+	78040222,78040694	0.0600537,0.0476271	1,3
SRGN	10	+	69104677	0.0718133	40
VIM	10	+	17236745	0.012106	10
AP002990.1	11	-	62559602	0.00320277	47
ATP5MG	11	+	118409019	0.00144648	3
CARD16	11	-	105041522	0.00149775	3
CASP1	11	-	105025442,105026420	0.00245399,0.000497018	2,1
CD44	11	+	35188035	0.00502513	6
CFL1	11	-	65854674	0.00302572	2
CTSC	11	-	88293591	0.00724638	3
CTSD	11	-	1752751	0.000930233	2
EEF1G	11	-	62559600	0.0384615	3
EHBP1L1	11	+	65592467	0.0121212	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120964	0.097561,0.0132827	16,7
FERMT3	11	+	64223641	0.0201342	3
HSPA8	11	-	123057488	0.0204082	5
IFITM2	11	+	309394	0.00506757	3
LAMTOR1	11	-	72097291	0.00181159	2
LMO2	11	-	33858575	0.000481773	3
MS4A4E	11	-	60201252	0.000252037	6
MS4A6A	11	-	60172013	0.00342428	21
NDUFV1	11	+	67612237	0.0194175	1
PPP1CA	11	-	67398182	0.0142045	5
PPP1R14B	11	-	64244479	0.00729927	2
PTDSS2	11	+	487470	0.000110748	4
RHOG	11	-	3826977	0.00512821	3
RNH1	11	-	494511	0.00096463	6
RPS25	11	-	119015711,119017322	0.0373663,0.0017092	25,1
RPS6KB2	11	+	67435329	0.01875	3
SF1	11	-	64764605	0.00036846	2
TALDO1	11	+	764993	0.00513068	2
TPP1	11	-	6612762	0.000466636	3
TSPAN4	11	+	866774	0.0138889	2
UBE2L6	11	-	57551655	0.0042735	3
UCP2	11	-	73974666	0.00729927	3
UNC93B1	11	-	67991103	0.00452489	2
AC023055.1	12	-	55757274	0.0295359	7
ARHGAP9	12	-	57472254	0.00217234	3
ARHGDIB	12	-	14942016	0.0277228	14
ARPC3	12	-	110434824	0.0484848	16
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719211	0.019802	2
BLOC1S1-RDH5	12	+	55719211	0.019802	2
CD63	12	-	55725322	0.00766086	9
CDK2AP1	12	-	123260970	0.00392157	3
CLEC7A	12	-	10116776	0.000203397	2
DDX47	12	+	12829734	0.0333333	6
DYNLL1	12	+	120498265	0.0149254	2
GAPDH	12	+	6538353	0.0437158	8
HSP90B1	12	+	103947794	0.004914	2
KMT5A	12	+	123409358	0.000633669	9
M6PR	12	-	8940362	0.000938086	3
