AL713999.1	1	-	155169408	0.000496401	2
ATP5PB	1	+	111461119	0.016	2
CD52	1	+	26320436	0.0223881	3
CDK11A	1	-	1702729	0.0017452	4
CTSS	1	-	150730195	0.00022636	4
ENO1	1	-	8860999	0.000567295	4
GSTM2	1	+	109674944	0.0462963	5
GUK1	1	+	228148858	0.0186335	3
HLX	1	+	220884827	0.0162602	2
IFI16	1	+	159054981	0.025	2
JUN	1	-	58780787	0.001554	2
LAPTM5	1	-	30732468	0.00147167	2
MINOS1	1	+	19626574	0.0289017	5
MTMR11	1	-	149928651	0.00419287	2
NADK	1	-	1751231	0.00119617	2
NDUFS2	1	+	161214259	0.00628931	2
PHC2	1	-	33323622	0.00161031	2
RPL11	1	+	23695229	0.000917151	3
RPS27	1	+	153991677,153992144	0.0839443,0.00428416	8,2
S100A10	1	-	151982914	0.0322581	8
S100A4	1	-	153543612	0.0342466	5
S100A6	1	-	153534598	0.0309278	3
S100A9	1	+	153360980	0.126761	18
SH3BGRL3	1	+	26281270	0.0313589	9
SLC25A44	1	+	156212758	0.000859476	2
SLC35E2B	1	-	1661477	0.00116171	5
SNIP1	1	-	37538007	0.000458127	5
SSR2	1	-	156009047	0.000392734	4
TAGLN2	1	-	159918106	0.011544	8
TXNIP	1	-	145992434	0.00564972	8
UBXN11	1	-	26281327	0.0030896	3
ITGB1	10	-	32900318	0.000243487	2
NDUFB8	10	-	100523936	0.000919287	5
PSAP	10	-	71816297	0.00437445	5
SRGN	10	+	69104385	0.00754717	2
VCL	10	+	74109966,74118048	9.0731e-05,0.000135839	3,6
VIM	10	+	17236643	0.00555412	6
VSIR	10	-	71747558	0.00135355	5
AHNAK	11	-	62515904	0.00357569	3
AP001931.1	11	+	57743194	0.00395619	3
AP002990.1	11	-	62559602	0.00167597	25
ATP5MG	11	+	118409060	0.00232739	4
BANF1	11	+	66004030	0.0116279	3
CCDC85B	11	+	65891482	0.0222222	2
CELF1	11	-	47465932	0.000317612	2
COX8A	11	+	63976445	0.024	3
CPSF7	11	-	61402640	0.000361359	3
CTSD	11	-	1752751	0.000930233	2
DDB1	11	-	61299450	0.0021097	2
FAU	11	-	65120627,65120908	0.0555556,0.0137221	6,8
GANAB	11	-	62624825	0.000137457	1
HSD17B12	11	+	43681347	0.0217391	4
HSPA8	11	-	123057488	0.00816327	2
ILK	11	+	6605060	0.0268817	5
MRE11	11	-	94415577	0.00043985	2
NDUFC2	11	-	78068303	0.00178253	3
PTPRCAP	11	-	67435509	0.00896861	2
RPL27A	11	+	8685796	0.0325303	11
RPS25	11	-	119015711	0.00269663	6
SELENOH	11	+	57743015	0.00491111	3
TCIRG1	11	+	68050841	0.037037	2
ADIPOR2	12	+	1787206	0.00176367	2
ARHGDIB	12	-	14942016	0.0039604	2
ARID2	12	+	45904435	0.0266667	2
ARPC3	12	-	110434824	0.0242424	8
ATP5MC2	12	-	53665165	0.0135135	2
CD69	12	-	9752485	0.00502513	5
GAPDH	12	+	6538330	0.025	4
LTA4H	12	-	96000827	0.000126737	3
MYL6	12	+	56161486	0.0392135	3
NACA	12	-	56712427	0.00993094	8
RPL41	12	+	56117684,56117812	0.0115437,0.10817	1,31
RPLP0	12	-	120196685	0.00147328	3
SELPLG	12	-	108622276	0.00252525	2
SRSF9	12	-	120461667	0.000954198	3
TUBA1A	12	-	49184795	0.00934579	1
TUBA1B	12	-	49127781	0.000808407	2
RPL21	13	+	27256333,27256507	0.0582199,0.0272149	8,6
SAP18	13	+	21147307	0.0218978	3
AL928654.3	14	+	105488718	0.0526336	3
CRIP1	14	+	105488718	0.0526336	3
IGHM	14	-	105851704,105854219	0.0498084,0.0162602	13,2
IRF9	14	+	24166376	0.0222222	4
MIS18BP1	14	-	45203189	0.00217628	2
NFKBIA	14	-	35401510	0.00273523	5
RNASE6	14	+	20782272	0.025	3
RPS29	14	-	49583571	0.0210526	2
SLC7A7	14	-	22773221	0.00131579	3
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538307	0.134022,0.000382063	23,5
BCL2A1	15	-	79960888	0.00740741	2
BMF	15	-	40087889	0.000512689	2
DMXL2	15	-	51447710	0.00157109	2
NOP10	15	-	34341712	0.00711744	2
PIAS1	15	+	68187714	0.0162602	2
RPS17	15	-	82536749,82538275	0.126214,0.0158339	13,16
SERF2	15	+	43793962	0.021164	4
SPG11	15	-	44573733	0.000594354	5
SQOR	15	+	45691164	0.0223881	3
ALDOA	16	+	30070291	0.0114286	2
ARL6IP1	16	-	18791666	0.000997672	3
ATP6V0C	16	+	2520062	0.0536278	17
COTL1	16	-	84565593	0.00799361	10
COX4I1	16	+	85806803	0.00664452	2
DDX28	16	-	68021273	0.0130719	4
GNPTG	16	+	1363205	0.0175439	2
ITGAL	16	+	30475523	0.012987	3
LUC7L	16	-	188968,214370	0.000122229,0.000140246	4,2
RNPS1	16	-	2253115	0.00235849	2
RPL13	16	+	89562388,89563106	0.0652939,0.070502	8,20
RPS2	16	-	1962051	0.00763846	12
TCF25	16	+	89883311	0.00124096	5
UNKL	16	-	1363204	0.000292056	1
YPEL3	16	-	30092313	0.000817996	2
AC005726.1	17	-	28455751,28468458,28546937	2.7869e-05,8.54097e-06,2.17772e-05	4,1,1
AC120057.2	17	-	7240426	0.0096038	11
AC134669.1	17	-	31305212	0.000338409	3
ACTG1	17	-	81509970	0.0069541	5
CBX4	17	-	79833155	0.00249066	2
CD300E	17	-	74609886	0.000723066	2
CNTD1	17	+	42804358	0.0243902	3
DDX5	17	-	64499615	0.00408283	18
EIF1	17	+	41691223	0.00503778	2
EIF4A1	17	+	7578731	0.0122449	3
JPT1	17	-	75135247	0.000144311	2
KIAA0100	17	-	28614439	0.00320513	2
KRT10	17	-	40818116	0.00557103	2
NME1-NME2	17	+	51171585	0.0384615	3
NME2	17	+	51171585	0.0384615	3
NUFIP2	17	-	29255835	0.000229806	2
RPL26	17	-	8377515,8379731	0.0521739,0.0189873	6,18
RPL27	17	+	43002797	0.0344679	7
SAT2	17	-	7626233	0.00176367	2
SOCS3	17	-	78356777	0.00182927	3
SRSF2	17	-	76734114	0.00195503	4
AFG3L2	18	-	12328943	0.00322061	2
ATP8B1	18	-	57646425	0.000223939	2
MYL12A	18	+	3256038	0.0166667	2
ZNF516	18	-	76358189	0.000459664	2
AC008763.3	19	+	7682744	0.0852392	21
AC010422.8	19	-	12668070	0.000254907	3
CD79A	19	+	41881101	0.0165289	2
EEF2	19	-	3976055	0.0060241	3
FTL	19	+	48966878	0.0629371	9
GMFG	19	-	39328352	0.0016116	2
HNRNPL	19	-	38836387	0.000381971	2
JUNB	19	+	12792995	0.0166667	3
JUND	19	-	18279759	0.030837	21
KANK3	19	-	8323314	0.0240964	2
LENG9	19	-	54461795	0.0136054	4
LYL1	19	-	13099032	0.00699301	2
MAP2K2	19	-	4090320	0.00722022	2
PEAK3	19	-	2274621	0.00661626	7
PLD3	19	+	40378341	0.0119048	2
R3HDM4	19	-	896502	0.000495213	3
RPL18	19	-	48615327,48615843	0.00387653,0.0806122	2,16
RPL28	19	+	55388045,55388368	0.156695,0.0461608	5,5
RPL36	19	+	5691659	0.0307692	4
RPS11	19	+	49498047,49499658	0.0460339,0.0270573	5,6
RPS15	19	+	1440487	0.0358927	4
RPS16	19	-	39433206	0.019544	5
RPS28	19	+	8322092,8322486	0.110029,0.00761437	1,3
RPS9	19	+	54207596,54207522	0.0492513,0.00940439	9,9
SPINT2	19	+	38292143	0.0145985	2
TRIR	19	-	12730639	0.00696864	6
TYROBP	19	-	35904400	0.00126622	4
WDR83OS	19	-	12668070	0.00674157	3
GEMIN6	2	+	38781825	0.00677966	2
NFE2L2	2	-	177227594	0.0289389	9
ORC2	2	-	200908972	0.00128866	3
OST4	2	-	27070471	0.0022805	2
PCBP1	2	+	70088925	0.027027	3
PTMA	2	+	231711980,231713526	0.109774,0.0153429	11,21
RPL37A	2	+	216501428	0.00204082	3
RTN4	2	-	54972186	0.00206398	1
SLC4A1AP	2	+	27694794	0.018018	2
TMSB10	2	+	84906574	0.0993377	14
VAMP8	2	+	85581828	0.016129	4
WIPF1	2	-	174559571	0.000672269	2
ATP5F1E	20	-	59025466	0.00121577	5
CTSZ	20	-	58995184	0.00862069	4
FKBP1A	20	-	1368977	0.000638162	2
GNAS	20	+	58902725,58911192	0.000112437,0.000113947	6,8
HCK	20	+	32054437	0.0126582	2
RBM38	20	+	57407689	0.00103399	8
RPS21	20	+	62388067	0.00980392	3
TGIF2-RAB5IF	20	+	36612245	0.0154639	3
ITGB2	21	-	44885952	0.000142066	3
SIK1	21	-	43414482	0.000885347	2
CHKB-CPT1B	22	-	50568994	0.000294522	3
CPT1B	22	-	50568860	0.00628931	3
EWSR1	22	+	29300253	0.0217391	2
IGLC1	22	+	22895810	0.0948276	11
IGLC2	22	+	22901437	0.0915493	13
IGLL5	22	+	22895802	0.178561	62
RAC2	22	-	37225260	0.00283286	4
RTCB	22	-	32387581	0.00487805	2
TSPO	22	+	43163124	0.0150376	2
XPNPEP3	22	+	40902613	6.14685e-05	1
XRCC6	22	+	41663902	0.0229885	2
BCL6	3	-	187721376	0.000381497	3
CMTM6	3	-	32481311	0.000755287	2
DCP1A	3	-	53304256,53311223,53314937,53333282	0.000213438,0.000104171,7.02381e-05,0.000274631	7,2,1,1
EIF1B	3	+	40312105	0.021978	2
GPX1	3	-	49357170	0.014788	11
HACD2	3	-	123491553	0.00059988	1
HCLS1	3	-	121631398	0.00447427	2
MRPS22	3	+	139349391	0.0344828	2
RPL29	3	-	51993521	0.00903405	13
RPL35A	3	+	197955789	0.00178811	8
SENP7	3	-	101324204	0.00115075	2
SETD2	3	-	47016428	2.90349e-05	3
TKT	3	-	53224706	0.000388478	6
UQCRC1	3	-	48599002	0.000195752	2
CCNI	4	-	77047157	0.00188501	2
GAK	4	-	849276	0.0017616	3
H2AFZ	4	-	99948087	0.00534759	1
NFKB1	4	+	102616745	0.013245	2
RPS3A	4	+	151104284,151104549,151104155	0.0594878,0.0739925,0.00784929	2,9,10
ANXA6	5	-	151101104	0.0058309	2
ARL15	5	-	53883944	0.000764526	2
BTF3	5	+	73505380	0.0211268	3
CD74	5	-	150401636	0.0125749	21
DUSP1	5	-	172768089	0.0297204	19
FYB1	5	-	39105254	9.64367e-05	2
HNRNPH1	5	-	179614177	0.000385951	3
RACK1	5	-	181236908,181237488	0.000705486,0.000513242	4,3
SQSTM1	5	+	179821605,179821993	0.0319586,0.0206234	1,8
STK10	5	-	172042072	0.000711997	2
AL049844.1	6	+	143823906	0.0276498	6
CLIC1	6	-	31730580	0.0191571	5
CSNK2B	6	+	31669986	0.0333333	2
ECT2L	6	+	138902719	0.0217391	2
GPSM3	6	-	32190765	0.00363636	4
HLA-B	6	-	31353871	0.0310861	18
HLA-C	6	-	31268748	0.00355731	9
HLA-DMA	6	-	32948612	0.0119522	3
HLA-DMB	6	-	32934628	0.00877193	3
HLA-DPB1	6	+	33086761	0.0114547	5
HLA-DQA2	6	+	32746582,32746806	0.00596365,0.00456028	1,1
HLA-DRB1	6	-	32578870	0.0680284	14
HLA-DRB5	6	-	32517342	0.0277723	10
HSP90AB1	6	+	44253755	0.0127389	2
LST1	6	+	31588755	0.0117647	2
PHACTR2	6	+	143823906	0.0276498	6
PPP1R18	6	-	30676388	0.00568182	5
RIOK1	6	+	7395240	0.0192308	4
RNASET2	6	-	166929503	0.000164421	2
RPL7L1	6	+	42889733	0.000323311	2
RPP21	6	+	30346845	0.0277778	2
RPS10	6	-	34417453	0.00274348	1
SERPINB6	6	-	2948158	0.000163854	2
SGK1	6	-	134169245	0.00293542	3
Z84488.2	6	+	116463566	0.0149254	3
AC004922.1	7	+	99394638	0.00929973	4
AC105052.3	7	-	102637048	0.000103157	3
ACTB	7	-	5527146	0.0259054	49
ARF5	7	+	127591389	0.0444444	4
ARPC1B	7	+	99394719	0.0129565	7
BRI3	7	+	98291402	0.0188679	3
CYP51A1	7	-	92112150	0.00330251	5
FAM133B	7	-	92560792	0.000456939	7
GNB2	7	+	100679000	0.0150754	3
GTF2I	7	+	74760689	0.0010805	2
KDM7A	7	-	140084745	0.000183318	2
MDH2	7	+	76066508	0.0204082	1
MKRN1	7	-	140453039	9.36637e-05	2
MYO1G	7	-	44962661	0.000143246	2
NCF1	7	+	74783581	0.000836633	3
SEC61G	7	-	54752249	0.0124224	1
SLC29A4	7	+	5306870	0.000508776	2
TMEM176B	7	-	150791284	0.00813008	2
TOMM7	7	-	22812631	0.00371747	2
