AL713999.1	1	-	155169408	0.000700479	2
ATP5IF1	1	+	28238022	0.00191571	3
CCT3	1	-	156308967	7.10757e-05	2
CD244	1	-	160830159	0.000790514	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320442	0.0142857	2
CDA	1	+	20618745	0.0169492	3
CERS2	1	-	150965172	0.00205128	2
CSF3R	1	-	36466042	0.00636943	2
ENO1	1	-	8860999	0.000425472	3
ERI3	1	-	44221069	0.000143864	3
GJA9-MYCBP	1	-	38864502	0.00108177	9
GPBP1L1	1	-	45627303	0.00210084	2
H3F3A	1	+	226071857	0.0291005	11
HNRNPU	1	-	244840637	0.000101528	1
LAPTM5	1	-	30732468	0.00515085	7
LMNA	1	+	156133506	0.00139867	9
MCL1	1	-	150574550	0.00247875	7
MINOS1	1	+	19626545	0.0208333	3
NBPF14	1	-	148531384	4.35284e-05	2
NCF2	1	-	183555562	0.00540541	3
PGD	1	+	10419960	0.014218	3
PSMB4	1	+	151401885	0.0357143	2
RCC2	1	-	17406759	0.00171674	4
RPS27	1	+	153991645,153992108	0.124239,0.00432128	8,2
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.0362903	9
S100A11	1	-	152032505	0.0192308	3
S100A4	1	-	153543612	0.0479452	7
S100A8	1	-	153390031	0.0704225	5
S100A9	1	+	153360906,153361025	0.640674,0.168097	43,31
SFPQ	1	-	35176377	0.0134445	21
SH3BGRL3	1	+	26281336	0.0424929	15
SSR2	1	-	156009047	0.000294551	3
TMEM50A	1	+	25360898	0.015544	3
UBXN11	1	-	26281327	0.00823893	8
UQCRH	1	+	46316664	0.000635893	4
CALHM2	10	-	103446785	0.00546448	2
ECHS1	10	-	133362479	0.00515464	2
GDI2	10	-	5765222	0.00235849	2
NCOA4	10	-	46005087	0.000985464	4
OTUD1	10	+	23441299	0.010101	4
PGAM1	10	+	97433441	0.00327154	3
PIK3AP1	10	-	96593311	0.000883002	2
POLL	10	-	101578881	0.00350263	2
PRDX3	10	-	119167702	0.002574	2
PSAP	10	-	71816297	0.00874891	10
RPS24	10	+	78040224,78040696	0.0655937,0.0357184	1,3
RRP12	10	-	97356700	0.00508906	2
SRGN	10	+	69104632	0.00585938	3
VIM	10	+	17236837	0.00862012	8
AP001931.1	11	+	57743902	0.00178042	3
AP002990.1	11	-	62559602,62559758	0.00222127,0.000249507	33,3
AP003419.1	11	-	67351571	0.00472813	2
ATP5MG	11	+	118407068,118409216	0.0545746,0.00232815	6,5
BSCL2	11	-	62690274	0.00356824	4
CCDC85B	11	+	65891512	0.0166667	2
CCDC88B	11	+	64357268	0.0114943	2
CFL1	11	-	65854674	0.0210976	13
COX8A	11	+	63976406	0.0348837	3
CREB3L1	11	+	46315308	0.038961	3
CTSD	11	-	1752751	0.00232558	5
DENND5A	11	-	9174592	0.00565074	12
EEF1G	11	-	62559600	0.025641	2
EHBP1L1	11	+	65592472	0.0117647	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120734	0.0373609,0.129448	6,20
GRK2	11	+	67286556	0.00271248	3
HNRNPUL2-BSCL2	11	-	62690274	0.000235682	4
ILK	11	+	6605034	0.025	4
MTRNR2L8	11	-	10507886	0.00754717	2
PIK3C2A	11	-	17141321	0.00108977	8
PSMA1	11	-	14504875	0.00949367	3
RHOG	11	-	3826977	0.0034188	2
RPL27A	11	+	8685636	0.0102598	9
RPS25	11	-	119015711,119017328	0.00247985,0.0205257	5,12
SELENOH	11	+	57742970	0.00398406	3
SLC15A3	11	-	60937083	0.00358423	3
SPI1	11	-	47354859	0.0112179	7
UNC93B1	11	-	67991103	0.00452489	2
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.00606061	2
ATP5MC2	12	-	53665165	0.0135135	2
CLEC2D	12	+	9681054	0.0222222	2
CLEC7A	12	-	10116776	0.00061019	6
EMG1	12	+	6983349	0.023569	7
GAPDH	12	+	6538263,6538368	0.0788562,0.028618	7,5
HNRNPA1	12	+	54286966	0.00150773	4
HSP90B1	12	+	103947707	0.00625	2
LTA4H	12	-	96000827	0.000249929	5
LYZ	12	+	69354233	0.116371	118
MYL6	12	+	56161503,56162483	0.00255973,0.0124224	3,1
NACA	12	-	56712427,56712728	0.00954087,0.0075651	10,6
PCBP2	12	+	53481161	0.000278529	5
PHB2	12	-	6965351	0.00273473	3
PRR13	12	+	53446645	0.00239644	7
PTPN6	12	+	6961163	0.0100334	3
RPL41	12	+	56117787	0.18251	48
RPLP0	12	-	120196685	0.00294526	7
SLC2A3	12	-	7919229	0.00274851	6
SRSF9	12	-	120461667	0.000954198	3
TNFRSF1A	12	-	6328756	0.000426167	1
TPI1	12	+	6870502	0.0336134	4
TUBA1A	12	-	49184795	0.00934579	1
TUBA1B	12	-	49127781	0.00161681	4
UBC	12	-	124911603	0.0181818	2
KCTD12	13	-	76880165	0.0003996	2
RPL21	13	+	27256332,27256510	0.0806012,0.0771608	12,17
AL928654.3	14	+	105488590	0.0253165	2
ATP5MPL	14	-	103912287	0.00175153	2
CDC42BPB	14	-	102932378	0.00150038	2
CHURC1	14	+	64932255	0.0178571	1
CRIP1	14	+	105488590	0.0253165	2
DLST	14	+	74890085	0.0124224	1
ERH	14	-	69380122	0.00722892	3
NEDD8	14	-	24216851	0.00391543	5
NFKBIA	14	-	35401510	0.00218818	4
PABPN1	14	+	23325492	0.00335289	4
PSME1	14	+	24138857	0.00527704	2
PSME2	14	-	24143364	0.000802246	2
SLC7A7	14	-	22773221	0.00175439	4
WARS	14	-	100333787,100360641	0.00183993,0.000897436	2,7
WDR25	14	+	100530302	6.48494e-05	3
AC245033.1	15	-	82536787,82538272,82538846	0.0068957,0.000302469,0.000126347	15,4,1
C15orf38-AP3S2	15	-	89834307	0.004971	6
NOP10	15	-	34341712	0.00711744	2
PKM	15	-	72199028	0.000175531	2
PPIB	15	-	64155811	0.0189573	4
RPS17	15	-	82536749,82538234	0.00307338,0.0249794	4,15
SEC11A	15	-	84669537	0.000309629	3
SERF2	15	+	43794120	0.0345821	12
ALDOA	16	+	30070391	0.123636	34
ATP6V0C	16	+	2520017	0.0330882	9
BOLA2B	16	-	30192933	0.0047619	2
COTL1	16	-	84565593	0.0103917	13
COX4I1	16	+	85806804	0.00993377	3
CYBA	16	-	88643282	0.0285714	2
EIF3C	16	+	28735583	0.0285714	2
METTL9	16	+	21657473	0.00244978	5
MSRB1	16	-	1938209	0.000655953	2
NPIPB12	16	-	29485632	0.000136874	1
RNPS1	16	-	2253115	0.00353774	3
ROGDI	16	-	4796967	0.000476872	2
RPL13	16	+	89562388,89562949,89563285	0.0311809,0.248967,0.0208468	3,48,10
RPS2	16	-	1962051,1962625	0.111111,0.00358744	23,4
SLX1A	16	+	30197502	0.00881057	2
TERF2IP	16	+	75654607	0.00621118	1
ZNF500	16	-	4748238	0.000207469	3
AC120057.2	17	-	7240426	0.0256205	31
ACTG1	17	-	81509970	0.015299	11
ARHGAP27	17	-	45393901	0.001287	2
ASGR1	17	-	7173430	0.00380228	2
BECN1	17	-	42810133	0.000953743	2
CCDC57	17	-	82101469	0.00943396	2
CCL3	17	-	36088255	0.03125	13
CD300LF	17	-	74694310	0.00132802	1
CYTH1	17	-	78674047	5.84795e-05	2
EIF1	17	+	41691212	0.0129534	5
EIF4A1	17	+	7578782	0.0101351	3
EVI2A	17	-	31317559	0.00269179	2
GRAPL	17	+	19159173	0.000209652	3
GRN	17	+	44352844	0.0260417	5
MILR1	17	+	64467711	0.0212766	2
MRPL12	17	+	81707353	0.0176991	2
NLRP1	17	-	5499426	0.000837872	2
NME1-NME2	17	+	51171721	0.0747664	15
NME2	17	+	51171721	0.0747664	15
OVCA2	17	+	2043303	0.00502513	1
P4HB	17	-	81843158	0.000370622	6
PFN1	17	-	4945651	0.00806452	2
PPP1R9B	17	-	50133734	0.00250627	4
RNASEK-C17orf49	17	+	7017399	0.0384615	3
RPL26	17	-	8377515,8379785	0.107143,0.0536909	18,47
MYL12A	18	+	3256197	0.0143369	4
AC008763.3	19	+	7682854	0.0657534	23
AC010422.8	19	-	12668070	0.000169938	2
AD000671.2	19	-	35739251	0.00214802	11
BORCS8-MEF2B	19	-	19145566,19162223	5.77555e-05,0.000752967	2,13
C19orf24	19	+	1278911	0.0149254	2
C19orf53	19	+	13778460	0.000515198	2
CDKN2D	19	-	10566461	0.0033557	2
CEBPA	19	-	33299933	0.00213675	3
ECH1	19	-	38815421	0.0104712	2
EEF2	19	-	3976055	0.0240964	12
FKBP8	19	-	18531750	0.000392157	3
FTL	19	+	48966875	0.192857	27
GMFG	19	-	39328352	0.0016116	2
GPX4	19	+	1106719	0.0231214	4
IFI30	19	+	18178085	0.12069	21
IRF3	19	-	49659569	0.000691744	1
JUNB	19	+	12793113	0.0503356	14
KDELR1	19	-	48382569	0.00276625	2
LENG9	19	-	54461795	0.00680272	2
LSM7	19	-	2321516	0.000441404	2
MAN2B1	19	-	12646512	0.0186916	1
MCEMP1	19	+	7679824	0.0028169	2
MYADM	19	+	53876437	0.00257865	5
NDUFA13	19	+	19527767,19528143	0.00265316,0.0638263	2,14
NDUFS7	19	+	1395116,1395587,1395116,1395588	0.00135657,0.0351759,0.000274004,0.034999	5,7,1,10
NKG7	19	-	51371605	0.00904977	2
OAZ1	19	+	2273133,2273330	0.0513401,0.0305261	8,13
PLD3	19	+	40378334	0.0124224	1
POU2F2	19	-	42086109	8.1314e-05	2
PPP1R15A	19	+	48875420	0.00917431	3
PRKD2	19	-	46674274	0.00035775	4
REX1BD	19	+	18592162	0.00155039	2
RPL18	19	-	48615327,48615824	0.00603539,0.120838	3,22
RPL28	19	+	55388047,55388340	0.116612,0.0899517	3,11
RPL36	19	+	5691729	0.0298507	6
RPS11	19	+	49498046,49499646	0.0524932,0.088314	6,16
RPS15	19	+	1440494	0.0410232	5
RPS16	19	-	39433206	0.0390879	11
RPS19	19	+	41869192	0.00398104	21
